"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",푸른들어린이집,전라남도 강진군 강진읍 고성길 22,전라남도 강진군 강진읍 서성리 80-6,34.6392623,126.7614713,전라남도 강진군청,강진경찰서,Y,2,3,2019-06-26
"어린이집",한별어린이집,전라남도 강진군 강진읍 삼일로 48,전라남도 강진군 강진읍 서성리 59-3,34.63674869,126.7626477,전라남도 강진군청,강진경찰서,Y,2,6,2019-06-26
"어린이집",성화어린이집,전라남도 강진군 강진읍 영랑로 56,전라남도 강진군 강진읍 남성리 170-1,34.64031183,126.7669708,전라남도 강진군청,강진경찰서,Y,2,12,2019-06-26
"어린이집",호산나어린이집,전라남도 강진군 강진읍 고성길 60,전라남도 강진군 강진읍 서성리 255,34.64251603,126.7612439,전라남도 강진군청,강진경찰서,Y,2,3,2019-06-26
"어린이집",지석어린이집,전라남도 강진군 도암면 지석마을길 35,전라남도 강진군 도암면 지석리 107-5,34.57608427,126.6969635,전라남도 강진군청,강진경찰서,Y,2,3,2019-06-26
"초등학교",강진중앙초등학교,전라남도 강진군 강진읍 중앙동길 11,전라남도 강진군 강진읍 평동리 215-1,34.63643168,126.7665399,전라남도 강진군청,강진경찰서,Y,5,6,2019-06-26
"초등학교",강진동초등학교,전라남도 강진군 강진읍 중앙로 180,전라남도 강진군 강진읍 동성리 202,34.64062811,126.775799,전라남도 강진군청,강진경찰서,Y,3,6,2019-06-26
"초등학교",강진북초등학교,전라남도 강진군 강진읍 지전로안길 83,전라남도 강진군 강진읍 서산리 252-10,34.64104382,126.7333221,전라남도 강진군청,강진경찰서,Y,2,6,2019-06-26
"초등학교",강진도암초등학교,전라남도 강진군 도암면 봉황로 10,전라남도 강진군 도암면 석문리 242,34.55094988,126.7258025,전라남도 강진군청,강진경찰서,Y,1,6,2019-06-26
"초등학교",강진신전초등학교,전라남도 강진군 신전면 백도로 1341,전라남도 강진군 신전면 용월리 1033-1,34.50002562,126.709617,전라남도 강진군청,강진경찰서,Y,2,6,2019-06-26
"초등학교",강진성전초등학교,전라남도 강진군 성전면 예향로 17,전라남도 강진군 성전면 월평리 102,34.69368367,126.7066373,전라남도 강진군청,강진경찰서,Y,3,6,2019-06-26
"초등학교",강진작천초등학교,전라남도 강진군 작천면 평리3길 1,전라남도 강진군 작천면 현산리 5,34.70303215,126.7718411,전라남도 강진군청,강진경찰서,Y,3,6,2019-06-26
"초등학교",강진병영초등학교,전라남도 강진군 병영면 하멜로 385,전라남도 강진군 병영면 성남리 199-7,34.71457494,126.8125717,전라남도 강진군청,강진경찰서,Y,3,6,2019-06-26
"초등학교",강진옴천초등학교,전라남도 강진군 옴천면 개산중앙길 12-7,전라남도 강진군 옴천면 개산리 245,34.74512346,126.7953575,전라남도 강진군청,강진경찰서,Y,1,3,2019-06-26
"초등학교",강진계산초등학교,전라남도 강진군 군동면 군동계산길 22,전라남도 강진군 군동면 호계리 709-1,34.64558265,126.7859819,전라남도 강진군청,강진경찰서,Y,1,6,2019-06-26
"초등학교",강진군동초등학교,전라남도 강진군 군동면 석교로 365,전라남도 강진군 군동면 라천리 134-5,34.64835191,126.8170229,전라남도 강진군청,강진경찰서,Y,1,3,2019-06-26
"초등학교",강진칠량초등학교,전라남도 강진군 칠량면 영동1길 5,전라남도 강진군 칠량면 영동리 1113-5,34.57359242,126.8000987,전라남도 강진군청,강진경찰서,Y,2,6,2019-06-26
"초등학교",강진대구초등학교,전라남도 강진군 대구면 청자로 1888,전라남도 강진군 대구면 수동리 785,34.49238459,126.7986138,전라남도 강진군청,강진경찰서,Y,2,6,2019-06-26
"초등학교",강진마량초등학교,전라남도 강진군 마량면 서중길 42,전라남도 강진군 마량면 마량리 1028-3,34.45626997,126.8113921,전라남도 강진군청,강진경찰서,Y,2,6,2019-06-26
