"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",고흥동초등학교,전라남도 고흥군 고흥읍 학교길 56,전라남도 고흥군 고흥읍 호형리 1293,34.6081679119,127.2913564099,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"어린이집",흥양어린이집,전라남도 고흥군 고흥읍 흥양길 3,전라남도 고흥군 고흥읍 남계리 673-4,34.6094691738,127.2884957194,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",녹동초등학교,전라남도 고흥군 도양읍 천마로 83,전라남도 고흥군 도양읍 봉암리 1556,34.5303998005,127.1393493617,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"유치원",성바오로 유치원,전라남도 고흥군 도양읍 천마로 83,전라남도 고흥군 도양읍 봉암리 1556,34.5303998005,127.1393493617,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"어린이집",녹동중앙어린이집,전라남도 고흥군 도양읍 봉암리 2699-141,전라남도 고흥군 도양읍 봉암리 2699-141,34.528436,127.1373488191,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"어린이집",녹동어린이집,전라남도 고흥군 도양읍 녹동신항8길 21-6,전라남도 고흥군 도양읍 봉암리 3322,34.527817,127.1431616371,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",풍양초등학교,전라남도 고흥군 풍양면 죽시장터길 13-6,전라남도 고흥군 풍양면 야막리 506,34.5753303798,127.2435814664,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",풍남초등학교,전라남도 고흥군 풍양면 풍남로 716,전라남도 고흥군 풍양면 풍남리 955,34.5230454903,127.2440521525,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",도덕초등학교,전라남도 고흥군 도덕면 학동1길 16,전라남도 고흥군 도덕면 도덕리 799,34.5672713453,127.1740989659,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",금산초등학교,전라남도 고흥군 금산면 상하촌길 9-5,전라남도 고흥군 금산면 대흥리 385,34.4622863777,127.1288661989,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",도화초등학교,전라남도 고흥군 도화면 오치길 43-4,전라남도 고흥군 도화면 당오리 518,34.5106016499,127.3178315275,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",포두초등학교,전라남도 고흥군 포두면 우주로 624,전라남도 고흥군 포두면 상대리 84,34.5693183119,127.3405515103,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",봉래초등학교,전라남도 고흥군 봉래면 신금길 7,전라남도 고흥군 봉래면 신금리 682-1,34.4691576137,127.4659155635,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",백양초등학교,전라남도 고흥군 동일면 우주로 2610,전라남도 고흥군 동일면 백양리 795,34.5031025815,127.4668578585,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",점암초등학교,전라남도 고흥군 점암면 점암학교길 11-6,전라남도 고흥군 점암면 모룡리 833,34.6512726922,127.3821061045,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",영남초등학교,전라남도 고흥군 영남면 팔영로 1075,전라남도 고흥군 영남면 양사리 528,34.6037190339,127.4550225919,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",과역초등학교,전라남도 고흥군 과역면 과역로 815,전라남도 고흥군 과역면 과역리 459,34.6804162699,127.3575875726,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",남양초등학교,전라남도 고흥군 남양면 상와길 40,전라남도 고흥군 남양면 대곡리 520,34.7290971561,127.3549364790,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",동강초등학교,전라남도 고흥군 동강면 원유둔1길 19,전라남도 고흥군 동강면 유둔리 229,34.7815080189,127.3322745127,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",대서초등학교,전라남도 고흥군 대서면 동서로 466,전라남도 고흥군 대서면 금마리 19,34.7717923758,127.2846942141,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
"초등학교",두원초등학교,전라남도 고흥군 두원면 두원로 476-29,전라남도 고흥군 두원면 용산리 775,34.6474494947,127.2755554326,고흥군청,고흥경찰서,Y,1,7.5m,2019-09-25
