"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",마동초교,전라남도 광양시 진등5길 14(마동),전라남도 광양시 마동 1028,34.9549022850,127.690059,광양시,광양경찰서,Y,4,15 ~ 20,2019-03-25
"초등학교",중앙초교,전라남도 광양시 불무길 15(중동),전라남도 광양시 중동 1347-1,34.945652,127.693805,광양시,광양경찰서,Y,4,5 ~ 10,2019-03-25
"초등학교",중마초교,전라남도 광양시 구마9길 33,전라남도 광양시 중동 1511,34.947444,127.685981,광양시,광양경찰서,Y,4,5 ~ 10,2019-03-25
"초등학교",중진초교,전라남도 광양시 광장로 75(중동),전라남도 광양시 중동 1671,34.932713,127.692769,광양시,광양경찰서,Y,2,15 ~ 20,2019-03-25
"초등학교",중동초교,전라남도 광양시 광장로 112-6(중동),전라남도 광양시 중동 1685,34.9333075294,127.6960195052,광양시,광양경찰서,Y,4,10 ~ 15,2019-03-25
"초등학교",백운초교,전라남도 광양시 광장로 21(중동),전라남도 광양시 중동 1656,34.9373693548,127.6918725583,광양시,광양경찰서,Y,2,15 ~ 20,2019-03-25
"초등학교",광영초교,전라남도 광양시 금영로 140,전라남도 광양시 광영동 75,34.963628,127.720775,광양시,광양경찰서,Y,2,15 ~ 20,2019-03-25
"초등학교",가야초교,전라남도 광양시 가야로 369,전라남도 광양시 광영동 250,34.967044,127.712725,광양시,광양경찰서,Y,2,10 ~ 15,2019-03-25
"초등학교",성황초교,전라남도 광양시 지동길15,전라남도 광양시 성황동 342,34.940269,127.682932,광양시,광양경찰서,Y,2,10 ~ 15,2019-03-25
"초등학교",골약초교,전라남도 광양시 하포길 70-7,전라남도 광양시 황길동 827,34.9106753981,127.6605771181,광양시,광양경찰서,Y,2,5 ~ 10,2019-03-25
"초등학교",제철초교,전라남도 광양시 마로니에길 48,전라남도 광양시 금호동 681,34.9459740728,127.729725,광양시,광양경찰서,Y,3,10 ~ 15,2019-03-25
"초등학교",제철남초교,전라남도 광양시 금호로 40,전라남도 광양시 금호동 624-11,34.934042,127.720524,광양시,광양경찰서,Y,3,15 ~ 20,2019-03-25
"초등학교",태인초교,전라남도 광양시 태인길 95,전라남도 광양시 태인동 1437,34.945965,127.743946,광양시,광양경찰서,Y,3,5 ~ 10,2019-03-25
"유치원",마동초교병설유치원,전라남도 광양시 진등5길 14(마동),전라남도 광양시 마동 1028,34.9549022850,127.690059,광양시,광양경찰서,N,,15 ~ 20,2019-03-25
"유치원",중앙초교병설유치원,전라남도 광양시 불무길 15(중동),전라남도 광양시 중동 1347-1,34.945652,127.693805,광양시,광양경찰서,N,,5 ~ 10,2019-03-25
