"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",중앙초교,전라남도 구례군 구례읍 봉남로 30,전라남도 구례군 구례읍 봉남리 86-14,35.2050825,127.4660342,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",북초교,전라남도 구례군 구례읍 학교길 119-7,전라남도 구례군 구례읍 학교길 119-7,35.2100995,127.4600902,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",청천초교,전라남도 구례군 마산면 화엄사로 136,전라남도 구례군 마산면 화엄사로 136,35.2216279,127.4877154,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",토지초교,전라남도 구례군 토지면 섬진강대로 5038,전라남도 구례군 토지면 구산리 918-5,35.1971331,127.5272546,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",연곡초교 분교,전라남도 구례군 토지면 남산길 18,전라남도 구례군 토지면 내서리 933-2,35.2473983944,127.5908819744,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",간문초교,전라남도 구례군 간전면 간전중앙로 164,전라남도 구례군 간전면 간문리 250-4,35.177672,127.5422031,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",문척초교,전라남도 구례군 문척면 수달생태로 270,전라남도 구례군 문척면 월전리 300,35.1918000,127.4898595,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",용방초교,전라남도 구례군 용방면 용방로 464,전라남도 구례군 용방면 용정리 95-13,35.2508959,127.4333029,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",광의초교,전라남도 구례군 광의면 광의초교길 23,전라남도 구례군 광의면 연파리 271,35.2588359,127.4450628,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",원촌초교,전라남도 구례군 산동면 원촌길 123,전라남도 구례군 산동면 원촌리 426,35.3170651,127.4386683,구례군청,구례경찰서,Y,,1.5m,2019-06-26
"초등학교",중동초교,전라남도 구례군 산동면 관산구산길 49,전라남도 구례군 산동면 관산리 690,35.3190087,127.4655658,구례군청,구례경찰서,Y,,1.5m,2019-06-26
