"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",나주초등학교,전라남도 나주시 남외1길 16 (남외동),전라남도 나주시 남외동 128번지,35.0277607764,126.7189183023,전라남도 나주시청,나주경찰서,Y,9,,2019-07-01
"초등학교",중앙초등학교,전라남도 나주시 대호길 22-19,전라남도 나주시 성북동 13번지,35.0377110575,126.7200897561,전라남도 나주시청,나주경찰서,Y,6,,2019-07-01
"초등학교",영산포초등학교,전라남도 나주시 금영로 2-6,전라남도 나주시 이창동 178번지,34.9941086212,126.7150069007,전라남도 나주시청,나주경찰서,Y,7,,2019-07-01
"초등학교",영강초등학교,전라남도 나주시 영강길 14,전라남도 나주시 삼영동 96번지,35.0069745017,126.7125389961,전라남도 나주시청,나주경찰서,Y,5,,2019-07-01
"초등학교",남평초등학교,전라남도 나주시 남평읍 남평3로 14-13,전라남도 나주시 남평읍 동사리 238번지,35.042544,126.8447932529,전라남도 나주시청,나주경찰서,Y,5,,2019-07-01
"초등학교",세지초등학교,전라남도 나주시 세지면 동창로 111,전라남도 나주시 세지면 오봉리 263번지,34.9193977546,126.7474350939,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",왕곡초등학교,전라남도 나주시 왕곡면 나주서부로 554,전라남도 나주시 왕곡면 월천리 206번지,34.9636664893,126.6549868562,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",양산초등학교,전라남도 나주시 왕곡면 고분로 1560,전라남도 나주시 왕곡면 양산리 103-5번지,34.9702321763,126.7056723528,전라남도 나주시청,나주경찰서,Y,3,,2019-07-01
"초등학교",반남초등학교,전라남도 나주시 반남면 고분로 712,전라남도 나주시 반남면 신촌리 129번지,34.9119993902,126.6589630172,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",공산초등학교,전라남도 나주시 공산면 공산로 85,전라남도 나주시 공산면 금곡리 780번지,34.9415838640,126.6135046755,전라남도 나주시청,나주경찰서,Y,2,,2019-07-01
"초등학교",동강초등학교,전라남도 나주시 동강면 동강로 595,전라남도 나주시 동강면 인동리 355번지,34.9384508573,126.5645380614,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",다시초등학교,전라남도 나주시 다시면 대용길 17-16,전라남도 나주시 다시면 월태리 521번지,35.018140,126.640157,전라남도 나주시청,나주경찰서,Y,3,,2019-07-01
"초등학교",문평초등학교,전라남도 나주시 문평면 문평로 15,전라남도 나주시 문평면 동원리 719번지,35.058714,126.6033110815,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",노안초등학교,전라남도 나주시 노안면 노안로 165,전라남도 나주시 노안면 용산리 255번지,35.0805869608,126.7183117890,전라남도 나주시청,나주경찰서,Y,2,,2019-07-01
"초등학교",노안남초등학교,전라남도 나주시 노안면 만호길 20-11,전라남도 나주시 노안면 학산리 503-3번지,35.0676683687,126.7512066568,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",금천초등학교,전라남도 나주시 금천면 금영로 960,전라남도 나주시 금천면 오강리 207번지,35.0343101277,126.7546349083,전라남도 나주시청,나주경찰서,Y,4,,2019-07-01
"초등학교",산포초등학교,전라남도 나주시 산포면 산포로 400,전라남도 나주시 산포면 매성리 199번지,35.0334478551,126.8061217183,전라남도 나주시청,나주경찰서,Y,3,,2019-07-01
"초등학교",다도초등학교,전라남도 나주시 다도면 다도로 636,전라남도 나주시 다도면 궁원리 316번지,34.9579212169,126.8265110548,전라남도 나주시청,나주경찰서,Y,2,,2019-07-01
"초등학교",봉황초등학교,전라남도 나주시 봉황면 죽석길 31,전라남도 나주시 봉황면 죽석리 771번지,34.9576548453,126.7881475009,전라남도 나주시청,나주경찰서,Y,2,,2019-07-01
"초등학교",나주이화학교,전라남도 나주시 산포면 세남로 1354,전라남도 나주시 산포면 산제리 504-1번지,35.0113036868,126.8232387547,전라남도 나주시청,나주경찰서,Y,3,,2019-07-01
"초등학교",빛가람초등학교,전라남도 나주시 그린로 176,전라남도 나주시 빛가람동 625번지,35.0090394554,126.7852543173,전라남도 나주시청,나주경찰서,Y,7,,2019-07-01
"초등학교",빛누리초등학교,전라남도 나주시 한빛로 144,전라남도 나주시 빛가람동 25번지,35.029978,126.7858132321,전라남도 나주시청,나주경찰서,Y,1,,2019-07-01
"초등학교",라온초등학교,전라남도 나주시 그린로 93,전라남도 나주시 빛가람동 384번지,35.0143975382,126.7793809289,전라남도 나주시청,나주경찰서,Y,1,,2019-07-01
"초등학교",한아름초등학교,전라남도 나주시 호수로 134,전라남도 나주시 빛가람동 848번지,35.0127199111,126.7973839375,전라남도 나주시청,나주경찰서,Y,1,,2019-07-01
