"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",담양동초등학교,전라남도 담양군 담양읍 추성로 1323,전라남도 담양군 담양읍 객사리 271,35.3203052862,126.9835347699,전라남도 담양군청,담양경찰서,y,04,,2019-09-17
"초등학교",담양남초등학교,전라남도 담양군 담양읍 지침5길 14,전라남도 담양군 담양읍 지침리 92,35.3181568758,126.9865615956,전라남도 담양군청,담양경찰서,y,05,,2019-09-17
"초등학교",담주초등학교,전라남도 담양군 담양읍 신성길 26,전라남도 담양군 담양읍 강쟁리 118,35.3006621236,126.9761898992,전라남도 담양군청,담양경찰서,y,05,,2019-09-17
"초등학교",봉산초등학교,전라남도 담양군 봉산면 신학길 34-11,전라남도 담양군 봉산면 신학리 131,35.2771607154,126.9570891342,전라남도 담양군청,담양경찰서,y,03,,2019-09-17
"초등학교",고서초등학교,전라남도 담양군 고서면 원등1길 7,전라남도 담양군 고서면 동운리 591-2,35.2246350044,126.9736329848,전라남도 담양군청,담양경찰서,y,03,,2019-09-17
"초등학교",남면초등학교,전라남도 담양군 가사문학면 연천길 3,전라남도 담양군 가사문학면 연천리 355,35.1783089254,127.0269053478,전라남도 담양군청,담양경찰서,y,03,,2019-09-17
"초등학교",창평초등학교,전라남도 담양군 창평면 의병로 173,전라남도 담양군 창평면 창평리 39-1,35.2407525411,127.0187431369,전라남도 담양군청,담양경찰서,y,02,,2019-09-17
"초등학교",만덕초등학교,전라남도 담양군 대덕면 창평현로 905,전라남도 담양군 대덕면 매산리 97,35.2493331755,127.0356310942,전라남도 담양군청,담양경찰서,y,02,,2019-09-17
"초등학교",무정초등학교,전라남도 담양군 무정면 수문동길 26-11,전라남도 담양군 무정면 봉안리 68-1,35.2908475638,127.0403368460,전라남도 담양군청,담양경찰서,y,05,,2019-09-17
"초등학교",수북초등학교,전라남도 담양군 수북면 추성1로 714,전라남도 담양군 수북면 수북리 161,35.3011995228,126.9301524764,전라남도 담양군청,담양경찰서,y,02,,2019-09-17
"초등학교",월산초등학교,전라남도 담양군 월산면 도개길 180,전라남도 담양군 월산면 화방리 629-1,35.3406952861,126.9505435049,전라남도 담양군청,담양경찰서,y,02,,2019-09-17
"초등학교",용면초등학교,전라남도 담양군 용면 추성2길 70,전라남도 담양군 용면 추성리 404,35.3635122716,126.9900443003,전라남도 담양군청,담양경찰서,y,06,,2019-09-17
