"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",상동초등학교,전라남도 목포시 상동 364번지,전라남도 목포시 상동 364번지,34.813939,126.411768,전라남도 목포시청,목포경찰서,Y,1,6,2019-10-08
"초등학교",광주교대부속초등학교,전라남도 목포시 용해동 289번지,전라남도 목포시 용해동 289번지,34.808157,126.404951,전라남도 목포시청,목포경찰서,Y,8,6,2019-10-08
"초등학교",연산초등학교,전라남도 목포시 연산동 928번지,전라남도 목포시 연산동 928번지,34.812996,126.377127,전라남도 목포시청,목포경찰서,Y,5,6,2019-10-08
"초등학교",신흥초등학교,전라남도 목포시 상동 1017번지,전라남도 목포시 상동 1017번지,34.799502,126.424795,전라남도 목포시청,목포경찰서,Y,6,6,2019-10-08
"초등학교",청호초등학교,전라남도 목포시 옥암동 966번지,전라남도 목포시 옥암동 966번지,34.809674,126.427596,전라남도 목포시청,목포경찰서,Y,5,6,2019-10-08
"초등학교",임성초등학교,전라남도 목포시 석현동 96번지,전라남도 목포시 석현동 96번지,34.825156,126.425224,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",한빛초등학교,전라남도 목포시 상동 887번지,전라남도 목포시 상동 887번지,34.803365,126.422414,전라남도 목포시청,목포경찰서,Y,7,6,2019-10-08
"초등학교",서해초등학교,전라남도 목포시 연산동 1271,전라남도 목포시 연산동 1271,34.8104678245,126.3814606607,전라남도 목포시청,목포경찰서,Y,5,6,2019-10-08
"초등학교",미항초등학교,전라남도 목포시 옥암동 1102,전라남도 목포시 옥암동 1102,34.8013018521,126.4393894808,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"초등학교",용해초등학교,전라남도 목포시 용해동 350번지,전라남도 목포시 용해동 350번지,34.812977,126.400721,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"초등학교",석현초등학교,전라남도 목포시 석현동 1172번지,전라남도 목포시 석현동 1172번지,34.814825,126.424661,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",항도초등학교,전라남도 목포시 상동 264번지,전라남도 목포시 상동 264번지,34.816143,126.415603,전라남도 목포시청,목포경찰서,Y,3,6,2019-10-08
"초등학교",애향초등학교,전라남도 목포시 옥암동 56-1번지,전라남도 목포시 옥암동 56-1번지,34.806665,126.445355,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"초등학교",옥암초등학교,전라남도 목포시 옥암동 1228번지,전라남도 목포시 옥암동 1228번지,34.808841,126.451558,전라남도 목포시청,목포경찰서,Y,5,6,2019-10-08
"초등학교",영산초등학교,전라남도 목포시 옥암동 1308번지,전라남도 목포시 옥암동 1308번지,34.808011,126.450195,전라남도 목포시청,목포경찰서,Y,7,6,2019-10-08
"유치원",산정병설유치원,전라남도 목포시 산정동 34,전라남도 목포시 산정동 34,34.8017755769,126.3894723039,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",북교병설유치원,전라남도 목포시 북교동 1,전라남도 목포시 북교동 1,34.7957991605,126.377662,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",중앙병설유치원,전라남도 목포시 호남동 463,전라남도 목포시 호남동 463,34.7953016775,126.3855163914,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",유달병설유치원,전라남도 목포시 유달동 8번지,전라남도 목포시 유달동 8번지,34.785774,126.378842,전라남도 목포시청,목포경찰서,Y,1,6,2019-10-08
"유치원",동초병설유치원,전라남도 목포시 산정동 270-1번지,전라남도 목포시 산정동 270-1번지,34.809656,126.387417,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",대성병설유치원,전라남도 목포시 대성동 212번지,전라남도 목포시 대성동 212번지,34.799703,126.380068,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",삼학병설유치원,전라남도 목포시 산정동 1367번지,전라남도 목포시 산정동 1367번지,34.791402,126.400893,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",용호병설유치원,전라남도 목포시 용당동 1028-7번지,전라남도 목포시 용당동 1028-7번지,34.799725,126.400628,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",대연병설유치원,전라남도 목포시 용해동 631번지,전라남도 목포시 용해동 631번지,34.820658,126.399143,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",하당병설유치원,전라남도 목포시 상동 820번지,전라남도 목포시 상동 820번지,34.806425,126.419111,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",서부병설유치원,전라남도 목포시 죽교동 1061-2번지,전라남도 목포시 죽교동 1061-2번지,34.796643,126.368521,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",이로병설유치원,전라남도 목포시 용해동 240-2번지,전라남도 목포시 용해동 240-2번지,34.805085,126.406579,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",부영병설유치원,전라남도 목포시 옥암동 1024번지,전라남도 목포시 옥암동 1024번지,34.803422,126.433331,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",남초병설유치원,전라남도 목포시 호남동 567번지,전라남도 목포시 호남동 567번지,34.791441,126.391306,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",연동병설유치원,전라남도 목포시 산정동 1980-4번지,전라남도 목포시 산정동 1980-4번지,34.790513,126.398715,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"유치원",서산병설유치원,전라남도 목포시 서산동 22번지,전라남도 목포시 서산동 22번지,34.781957,126.374586,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",상동병설유치원,전라남도 목포시 상동 364번지,전라남도 목포시 상동 364번지,34.813939,126.411768,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",연산병설유치원,전라남도 목포시 연산동 928번지,전라남도 목포시 연산동 928번지,34.812996,126.377127,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",신흥병설유치원,전라남도 목포시 상동 1017번지,전라남도 목포시 상동 1017번지,34.799502,126.424795,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",청호병설유치원,전라남도 목포시 옥암동 966번지,전라남도 목포시 옥암동 966번지,34.809674,126.427596,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",임성병설유치원,전라남도 목포시 석현동 96번지,전라남도 목포시 석현동 96번지,34.825156,126.425224,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",한빛병설유치원,전라남도 목포시 상동 887번지,전라남도 목포시 상동 887번지,34.803365,126.422414,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",서해병설유치원,전라남도 목포시 연산동 1271,전라남도 목포시 연산동 1271,34.8104678245,126.3814606607,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",미항병설유치원,전라남도 목포시 옥암동 1102,전라남도 목포시 옥암동 1102,34.8013018521,126.4393894808,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",용해병설유치원,전라남도 목포시 용해동 350번지,전라남도 목포시 용해동 350번지,34.812977,126.400721,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",석현병설유치원,전라남도 목포시 석현동 1172번지,전라남도 목포시 석현동 1172번지,34.814825,126.424661,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",항도병설유치원,전라남도 목포시 상동 264번지,전라남도 목포시 상동 264번지,34.816143,126.415603,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",옥암유치원,전라남도 목포시 옥암동 1228번지,전라남도 목포시 옥암동 1228번지,34.808841,126.451558,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",성모유치원,전라남도 목포시 경동2가 2-1번지,전라남도 목포시 경동2가 2-1번지,34.785298,126.380977,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",영재유치원,전라남도 목포시 용당동 311-5번지,전라남도 목포시 용당동 311-5번지,34.808388,126.401937,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",엔젤유치원,전라남도 목포시 용해동 350,전라남도 목포시 용해동 350,34.812977,126.4006778160,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",산정초등학교,전라남도 목포시 산정동 43번지,전라남도 목포시 산정동 43번지,34.790513,126.398715,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",북교초등학교,전라남도 목포시 북교동 1번지,전라남도 목포시 북교동 1번지,34.796103,126.377662,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"초등학교",중앙초등학교,전라남도 목포시 호남동 463번지,전라남도 목포시 호남동 463번지,34.795712,126.385713,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",유달초등학교,전라남도 목포시 유달동 8번지,전라남도 목포시 유달동 8번지,34.785774,126.378842,전라남도 목포시청,목포경찰서,Y,3,6,2019-10-08
"초등학교",동초등학교,전라남도 목포시 산정동 270-1번지,전라남도 목포시 산정동 270-1번지,34.809656,126.387417,전라남도 목포시청,목포경찰서,Y,3,6,2019-10-08
"초등학교",대성초등학교,전라남도 목포시 대성동 212번지,전라남도 목포시 대성동 212번지,34.799703,126.380068,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",삼학초등학교,전라남도 목포시 산정동 1367번지,전라남도 목포시 산정동 1367번지,34.791402,126.400893,전라남도 목포시청,목포경찰서,Y,10,6,2019-10-08
"초등학교",용호초등학교,전라남도 목포시 용당동 1028-7번지,전라남도 목포시 용당동 1028-7번지,34.799725,126.400628,전라남도 목포시청,목포경찰서,Y,7,6,2019-10-08
"초등학교",대연초등학교,전라남도 목포시 용해동 631번지,전라남도 목포시 용해동 631번지,34.820658,126.399143,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",하당초등학교,전라남도 목포시 상동 820번지,전라남도 목포시 상동 820번지,34.806425,126.419111,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"초등학교",서부초등학교,전라남도 목포시 죽교동 1061-2번지,전라남도 목포시 죽교동 1061-2번지,34.796643,126.368521,전라남도 목포시청,목포경찰서,Y,3,6,2019-10-08
"초등학교",이로초등학교,전라남도 목포시 용해동 240-2번지,전라남도 목포시 용해동 240-2번지,34.805085,126.406579,전라남도 목포시청,목포경찰서,Y,6,6,2019-10-08
"초등학교",부영초등학교,전라남도 목포시 옥암동 1024번지,전라남도 목포시 옥암동 1024번지,34.803422,126.433331,전라남도 목포시청,목포경찰서,Y,4,6,2019-10-08
"초등학교",남초등학교,전라남도 목포시 호남동 567번지,전라남도 목포시 호남동 567번지,34.791441,126.391306,전라남도 목포시청,목포경찰서,Y,6,6,2019-10-08
"초등학교",연동초등학교,전라남도 목포시 산정동 1980-4번지,전라남도 목포시 산정동 1980-4번지,34.790513,126.398715,전라남도 목포시청,목포경찰서,Y,5,6,2019-10-08
"초등학교",서산초등학교,전라남도 목포시 서산동 22번지,전라남도 목포시 서산동 22번지,34.781957,126.374586,전라남도 목포시청,목포경찰서,Y,7,6,2019-10-08
"유치원",즐거운유치원,전라남도 목포시 상동 845번지,전라남도 목포시 상동 845번지,34.808271,126.421699,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",가나유치원,전라남도 목포시 용당동 1187-22,전라남도 목포시 용당동 1187-22,34.810349,126.3957702,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",무지개유치원,전라남도 목포시 용당동 1063-3번지,전라남도 목포시 용당동 1063-3번지,34.797388,126.402562,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"유치원",비엔나유치원,전라남도 목포시 산정동 1080번지,전라남도 목포시 산정동 1080번지,34.794825,126.393696,전라남도 목포시청,목포경찰서,Y,5,6,2019-10-08
"어린이집",동심유치원,전라남도 목포시 산정동 1054-182,전라남도 목포시 산정동 1054-182,34.798109,126.392157,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",숲속의 아일랜드유치원,전라남도 목포시 상동 805번지,전라남도 목포시 상동 805번지,34.809145,126.419676,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",일오삼유치원,전라남도 목포시 연산동 1262-3번지,전라남도 목포시 연산동 1262-3번지,34.812661,126.382583,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",신나는보육원,전라남도 목포시 용해동 478번지,전라남도 목포시 용해동 478번지,34.818463,126.401738,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",양동제일교회보육원,전라남도 목포시 호남동 6-3번지,전라남도 목포시 호남동 6-3번지,34.795148,126.385102,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",솔로몬보육원,전라남도 목포시 석현동 532-31번지,전라남도 목포시 석현동 532-31번지,34.825601,126.423785,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",샛별보육원,전라남도 목포시 산정동 1762-12,전라남도 목포시 산정동 1762-12,34.806575,126.3765399,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",좋은친구보육원,전라남도 목포시 산정동 265-3번지,전라남도 목포시 산정동 265-3번지,34.808129,126.386164,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",예쁘다보육원,전라남도 목포시 산정동 1791-14번지,전라남도 목포시 산정동 1791-14번지,34.801466,126.378007,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",중앙영재보육원,전라남도 목포시 산정동 1799-8번지,전라남도 목포시 산정동 1799-8번지,34.804004,126.369271,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",개미보육원,전라남도 목포시 상동 742번지,전라남도 목포시 상동 742번지,34.813934,126.413898,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",아이세상보육원,전라남도 목포시 옥암동 1027번지,전라남도 목포시 옥암동 1027번지,34.802064,126.432452,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",베키보육원,전라남도 목포시 옥암동 979-13,전라남도 목포시 옥암동 979-13,34.8078144847,126.431866,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",아해누리보육원,전라남도 목포시 용해동 527-1번지,전라남도 목포시 용해동 527-1번지,34.819939,126.400969,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"어린이집",백합보육원,전라남도 목포시 산정동 1354-2번지,전라남도 목포시 산정동 1354-2번지,34.789191,126.399441,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",명도보육원,전라남도 목포시 상동 22-5번지,전라남도 목포시 상동 22-5번지,34.806675,126.420541,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",동민보육원,전라남도 목포시 용당로 284번길 26,전라남도 목포시 용당로 284번길 26,34.810583,126.4004937242,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"특수학교",목포인성학교,전라남도 목포시 석현동 1228번지,전라남도 목포시 석현동 1228번지,34.825156,126.425224,전라남도 목포시청,목포경찰서,Y,2,6,2019-10-08
"초등학교",부주초등학교,전라남도 목포시 남악2로 22번길 37,전라남도 목포시 옥암동 1317번지,34.80875132,126.4569519,전라남도 목포시청,목포경찰서,Y,6,6,2019-10-08
"유치원",노블키즈유치원,전라남도 목포시 하당로 312번길 9,전라남도 목포시 옥암동 951-4번지,34.8119270304,126.4299708869,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",이지차일드유치원,전라남도 목포시 당가두로 38번길 4,전라남도 목포시 옥암동 1165번지,34.809379,126.439736,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",민족사관어린이집,전라남도 목포시 정의로 26-14,전라남도 목포시 옥암동 1199-4번지,34.812536,126.4460718540,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"초등학교",백련초등학교,전라남도 목포시 연산백련로 40,전라남도 목포시 연산동 1923번지,34.81844881,126.3898643,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",썸머힐어린이집,전라남도 목포시 영산로 587,전라남도 목포시 석현동 587번지,34.8180937,126.4205287604,전라남도 목포시청,목포경찰서,N,0,28,2019-10-08
"유치원",희망어린이집,전라남도 목포시 중화길13번길 9-1,전라남도 목포시 상동 518번지,34.8088073402,126.4146002946,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"유치원",백련유치원,전라남도 목포시 연산백련로31번길 6-8,전라남도 목포시 연산동 1950번지,34.81733246,126.3892849,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",청운어린이집,전라남도 목포시 연산로124번길 4-6,전라남도 목포시 연산동 980-37번지,34.8087126661,126.3830266,전라남도 목포시청,목포경찰서,N,0,6,2019-10-08
"어린이집",글로벌키즈어린이집,전라남도 목포시 삼각로 17,전라남도 목포시 상동 919번지,34.80283251,126.4163288,전라남도 목포시청,목포경찰서,N,0,12,2019-10-08
"어린이집",성균관어린이집,전라남도 목포시 남악1로42번길 5,전라남도 목포시 옥암동 1247-4번지,34.80935849,126.4464217,전라남도 목포시청,목포경찰서,N,0,26,2019-10-08
