"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",무안초등학교,전라남도 무안군 무안읍 면성2길 30번지,전라남도 무안군 무안읍 성내리 74-2,34.9917519707,126.4761974912,전라남도 무안군,무안경찰서,Y,2,,2019-06-26
"초등학교",청계초등학교,전라남도 무안군 청계면 영산로 1870번지,전라남도 무안군 청계면 상마리 36-1,34.925628,126.429253,전라남도 무안군,무안경찰서,Y,4,,2019-06-26
"초등학교",청계북초등학교,전라남도 무안군 청계면 사마길 8번지,전라남도 무안군 청계면 남안리 228-1,34.957247,126.446677,전라남도 무안군,무안경찰서,Y,6,,2019-06-26
"초등학교",청계남초등학교,전라남도 무안군 청계면 운화로 105번지,전라남도 무안군 청계면 청계리 70-3,34.884275,126.437931,전라남도 무안군,무안경찰서,Y,6,,2019-06-26
"초등학교",삼향초등학교,전라남도 무안군 무안읍 삼향중앙로 84번지,전라남도 무안군 삼향읍 유교리 900-1,34.8426981,126.4322982,전라남도 무안군,무안경찰서,Y,7,,2019-06-26
"초등학교",삼향동초등학교,전라남도 무안군 삼향읍 극포길 25번지,전라남도 무안군 삼향읍 맥포리 74,34.837966,126.478227,전라남도 무안군,무안경찰서,Y,7,,2019-06-26
"초등학교",삼향북초등학교,전라남도 무안군 삼향읍 원지산길 66번지,전라남도 무안군 삼향읍 지산리 792-2,34.879457,126.419701,전라남도 무안군,무안경찰서,Y,6,,2019-06-26
"초등학교",몽탄초등학교,전라남도 무안군 몽탄면 몽탄로 878번지,전라남도 무안군 몽탄면 사천리 170,34.928829,126.501662,전라남도 무안군,무안경찰서,Y,6,,2019-06-26
"초등학교",일로초등학교,전라남도 무안군 일로읍 일로로 69번지,전라남도 무안군 일로읍 월암리 200,34.8499189839,126.4943958833,전라남도 무안군,무안경찰서,Y,4,,2019-06-26
"초등학교",남악초등학교,전라남도 무안군 삼향읍 남악영산길 6번지,전라남도 무안군 삼향읍 남악리 1587,34.812701,126.474133,전라남도 무안군,무안경찰서,Y,11,,2019-06-26
