"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",보성남초교,전라남도 보성군 보성읍 새싹길 12,전라남도 보성군 보성읍 주봉리 308-1,34.7700844065,127.0784245289,전라남도 보성군,보성경찰서,Y,2,10,2019-09-30
"초등학교",겸백초교,전라남도 보성군 겸백면 충의로 2496,전라남도 보성군 겸백면 석호리 556-2,34.831451,127.1510838497,전라남도 보성군,보성경찰서,Y,3,8,2019-09-30
"초등학교",득량남초교,전라남도 보성군 득량면 월평1길 50,전라남도 보성군 득량면 해평리 588,34.7519998903,127.1864250572,전라남도 보성군,보성경찰서,Y,2,4,2019-09-30
"초등학교",미력초교,전라남도 보성군 미력면 송재로 589,전라남도 보성군 미력면 도개리 730-4,34.7998909907,127.0858574099,전라남도 보성군,보성경찰서,Y,2,9,2019-09-30
"초등학교",벌교초교,전라남도 보성군 벌교읍 월곡길 13,전라남도 보성군 벌교읍 벌교리 642-1,34.8444367290,127.3427567066,전라남도 보성군,보성경찰서,Y,2,10,2019-09-30
"초등학교",예당초교,전라남도 보성군 득량면 예당초교길 3,전라남도 보성군 득량면 예당리 370-1,34.7794895971,127.1955503130,전라남도 보성군,보성경찰서,Y,3,9,2019-09-30
"초등학교",낙성초교,전라남도 보성군 벌교읍 채동선로 706,전라남도 보성군 벌교읍 낙성리 907,34.8768823398,127.3137965128,전라남도 보성군,보성경찰서,Y,3,9,2019-09-30
"초등학교",조성초교,전라남도 보성군 조성면 조성로 129-7,전라남도 보성군 조성면 조성리 683-1,34.8102281591,127.2486641050,전라남도 보성군,보성경찰서,Y,2,10,2019-09-30
"초등학교",조성남초교,전라남도 보성군 조성면 산정길 2,전라남도 보성군 조성면 덕산리 48-2,34.7899816590,127.2150241625,전라남도 보성군,보성경찰서,Y,4,4,2019-09-30
"초등학교",회천초교,전라남도 보성군 회천면 남부관광로 2343,전라남도 보성군 회천면 율포리 300,34.6728018188,127.0850713974,전라남도 보성군,보성경찰서,Y,3,10,2019-09-30
"초등학교",복내초교,전라남도 보성군 복내면 원봉길 5,전라남도 보성군 복내면 복내리 346-2,34.8987198540,127.1282093147,전라남도 보성군,보성경찰서,Y,2,9,2019-09-30
"초등학교",웅치초교,전라남도 보성군 웅치면 일림로 1013,전라남도 보성군 웅치면 중산리 67-43,34.7165959237,127.0206458825,전라남도 보성군,보성경찰서,Y,4,10,2019-09-30
"초등학교",벌교 중앙초교,전라남도 보성군 벌교읍 장좌길 10,전라남도 보성군 벌교읍 장좌리 712,34.8376918645,127.3423220511,전라남도 보성군,보성경찰서,Y,3,10,2019-09-30
"초등학교",율어초교,전라남도 보성군 율어면 율어로 569-14,전라남도 보성군 율어면 문양리 247,34.8724616937,127.1857603221,전라남도 보성군,보성경찰서,Y,2,8,2019-09-30
"초등학교",노동초교,전라남도 보성군 노동면 거석길 218,전라남도 보성군 노동면 거석리 534-2,34.8242821494,127.0485424073,전라남도 보성군,보성경찰서,Y,2,8,2019-09-30
"초등학교",문덕초교,전라남도 보성군 문덕면 동소산길 129-10,전라남도 보성군 문덕면 봉정리 258-8,34.9197896977,127.1753522541,전라남도 보성군,보성경찰서,Y,3,8,2019-09-30
"초등학교",회천서초교,전라남도 보성군 회천면 시장길 12,전라남도 보성군 회천면 회령리 486-2,34.6709798357,127.0631387764,전라남도 보성군,보성경찰서,Y,2,5,2019-09-30
"어린이집",벌교어린이집,전라남도 보성군 벌교읍 채동선로 308,전라남도 보성군 벌교읍 벌교리 1-32,34.848467,127.341448,전라남도 보성군,보성경찰서,Y,3,10,2019-09-30
"어린이집",벌교 중앙어린이집,전라남도 보성군 벌교읍 신정길 47-37,전라남도 보성군 벌교읍 회정리 458-66,34.845809,127.351255,전라남도 보성군,보성경찰서,Y,2,10,2019-09-30
"어린이집",보성 동화나라어린이집,전라남도 보성군 보성읍 오리실길 32-1,전라남도 보성군 보성읍 주봉리 429-2,34.764212,127.0717165705,전라남도 보성군,보성경찰서,Y,1,5,2019-09-30
"어린이집",대광어린이집,전라남도 보성군 벌교읍 회정2길 4-3,전라남도 보성군 벌교읍 회정리 833,34.8485652644,127.3477947847,전라남도 보성군,보성경찰서,Y,1,10,2019-09-30
"어린이집",삼광어린이집,전라남도 보성군 복내면 송재로 1941,전라남도 보성군 복내면 복내리 400,34.9007175729,127.141073,전라남도 보성군,보성경찰서,Y,2,10,2019-09-30
"어린이집",조성초동친구어린이집,전라남도 보성군 조성면 월평길 21,전라남도 보성군 조성면 조성리 686-6,34.8094064333,127.2467162738,전라남도 보성군,보성경찰서,Y,,4,2019-09-30
"초등학교",보성초교,전라남도 보성군 보성읍 송재로 161-8,전라남도 보성군 보성읍 보성리 806,34.7718766783,127.0780285876,전라남도 보성군,보성경찰서,Y,2,10,2019-09-30
