"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",부영초등학교,전라남도 순천시 연향중앙상가길 68,전라남도 순천시 연향동 1382번지,34.947184,127.5196363,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",율산초등학교,전라남도 순천시 율산공원길 10,전라남도 순천시 연향동 1626-1번지,34.9387958,127.5258112,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",이수초등학교,전라남도 순천시 우명길 24,전라남도 순천시 조례동 1278-7번지,34.9503121,127.5121687,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",봉화초등학교,전라남도 순천시 봉화1길 57,전라남도 순천시 조례동 1384번지,34.9562857,127.5136596,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",비봉초등학교,전라남도 순천시 비봉길 90,전라남도 순천시 조례동 816-3번지,34.9662481,127.5187465,전라남도 순천시청,순천경찰서,Y,3,6,2019-08-27
"초등학교",조례초등학교,전라남도 순천시 순광로 15,전라남도 순천시 조례동 527-10번지,34.9555507,127.522673,전라남도 순천시청,순천경찰서,Y,9,6,2019-08-27
"초등학교",왕운초등학교,전라남도 순천시 왕지3길 41,전라남도 순천시 왕지동 895번지,34.9738309,127.5253159,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",왕조초등학교,전라남도 순천시 봉화1길 105,전라남도 순천시 조례동 1669번지,34.9605228,127.5139434,전라남도 순천시청,순천경찰서,Y,2,6,2019-08-27
"초등학교",신흥초등학교,전라남도 순천시 장선배기길 60,전라남도 순천시 조례동 1646번지,34.9535422,127.5279566,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",대석초등학교,전라남도 순천시 기적의도서관2길 52,전라남도 순천시 연향동 1514번지,34.9437215,127.5260675,전라남도 순천시청,순천경찰서,Y,2,6,2019-08-27
"초등학교",동명초등학교,전라남도 순천시 해룡면 동명초등길 23,전라남도 순천시 해룡면 상삼리 634번지,34.9480239,127.5273882,전라남도 순천시청,순천경찰서,Y,2,6,2019-08-27
"초등학교",왕지초등학교,전라남도 순천시 연동남3길 8,전라남도 순천시 조례동 1800번지,34.9571092,127.5345014,전라남도 순천시청,순천경찰서,Y,6,6,2019-08-27
"초등학교",팔마초등학교,전라남도 순천시 해룡면 장선배기길 113,전라남도 순천시 해룡면 상삼리 621번지,34.9502463,127.5309524,전라남도 순천시청,순천경찰서,Y,2,6,2019-08-27
"초등학교",성동초등학교,전라남도 순천시 황금2길 28,전라남도 순천시 동외동 78번지,34.9538994,127.486899,전라남도 순천시청,순천경찰서,Y,2,6,2019-08-27
"초등학교",남초등학교,전라남도 순천시 서문로 7,전라남도 순천시 저전동 98-7번지,34.9503812,127.4826926,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",북초등학교,전라남도 순천시 북정2길 20,전라남도 순천시 매곡동 425-1번지,34.9650048,127.483779,전라남도 순천시청,순천경찰서,Y,6,6,2019-08-27
"초등학교",삼산초등학교,전라남도 순천시 삼산초등길 39,전라남도 순천시 석현동 24번지,34.9664946,127.4879758,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
"초등학교",연향초등학교,전라남도 순천시 연향번영길 11,전라남도 순천시 연향동 1377-9번지,34.9438841,127.5172109,전라남도 순천시청,순천경찰서,Y,4,6,2019-08-27
