"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",장산초등학교 병설유치원,전라남도 신안군 장산면 장산로 277,전라남도 신안군 장산면 대리 93-1,34.6381596443,126.1442563,전라남도 신안군청,목포경찰서,Y,6,3,2019-07-01
"초등학교",장산초등학교,전라남도 신안군 장산면 장산로 277,전라남도 신안군 장산면 대리 93-1,34.6381596443,126.1442563,전라남도 신안군청,목포경찰서,Y,6,3,2019-07-01
"유치원",신의초등학교 병설유치원,전라남도 신안군 신의면 신의로 710-57,전라남도 신안군 신의면 상태동리 29-5,34.5833838939,126.0958193691,전라남도 신안군청,목포경찰서,N,0,4,2019-07-01
"초등학교",신의초등학교,전라남도 신안군 신의면 신의로 710-57,전라남도 신안군 신의면 상태동리 29-5,34.5833838939,126.0958193691,전라남도 신안군청,목포경찰서,N,0,4,2019-07-01
"유치원",비금초등학교 병설유치원,전라남도 신안군 비금면 유옥우길 21-4,전라남도 신안군 비금면 신원리 93,34.7605830678,125.9209392338,전라남도 신안군청,목포경찰서,N,0,4,2019-07-01
"초등학교",비금초등학교,전라남도 신안군 비금면 유옥우길 21-4,전라남도 신안군 비금면 신원리 93,34.7605830678,125.9209392338,전라남도 신안군청,목포경찰서,N,0,4,2019-07-01
"유치원",팔금초등학교병설유치원,전라남도 신안군 팔금면 삼층석탑길 173,전라남도 신안군 팔금면 읍리 699,34.7862911,126.1452461,전라남도 신안군청,목포경찰서,Y,6,6.5,2019-07-01
"초등학교",팔금초등학교,전라남도 신안군 팔금면 삼층석탑길 173,전라남도 신안군 팔금면 읍리 699,34.7862911,126.1452461,전라남도 신안군청,목포경찰서,Y,6,6.5,2019-07-01
"유치원",흑산초등학교 병설유치원,전라남도 신안군 흑산면 진마을길 12-13,전라남도 신안군 흑산면 진리 477,34.6844376132,125.4276439932,전라남도 신안군청,목포경찰서,Y,6,3,2019-07-01
"초등학교",흑산초등학교,전라남도 신안군 흑산면 진마을길 12-13,전라남도 신안군 흑산면 진리 477,34.6844376132,125.4276439932,전라남도 신안군청,목포경찰서,Y,6,3,2019-07-01
