"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",동백초등학교,전라남도 여수시 돌산읍 강남10길 27,전라남도 여수시 돌산읍 우두리 1108-1,34.717178,127.753212,전라남도 여수시청,여수경찰서,Y,6,5,2019-06-26
"초등학교",성산초등학교,전라남도 여수시 대통1길 13,전라남도 여수시 선원동 150-21,34.7769484907,127.6405095655,전라남도 여수시청,여수경찰서,Y,6,12,2019-06-26
"어린이집",구봉어린이집,전라남도 여수시 구봉길 6-11,전라남도 여수시 국동 1033-91,34.7296257,127.7132819,전라남도 여수시청,여수경찰서,Y,3,6,2019-06-26
"초등학교",묘도초등학교,전라남도 여수시 묘도1길 77,전라남도 여수시 묘도동 910-1,34.8757393891,127.7095951949,전라남도 여수시청,여수경찰서,Y,2,4,2019-06-26
"어린이집",재롱이어린이집,전라남도 여수시 봉강서1길 33,전라남도 여수시 봉강동 493,34.7429695,127.720188,전라남도 여수시청,여수경찰서,Y,3,5,2019-06-26
"어린이집",꽃들어린이집,전라남도 여수시 소정길 30,전라남도 여수시 미평동 522-1,34.763544,127.7073597,전라남도 여수시청,여수경찰서,Y,3,5,2019-06-26
"어린이집",홍익어린이집,전라남도 여수시 충민사길 31,전라남도 여수시 덕충동 1920,34.755972,127.732485,전라남도 여수시청,여수경찰서,Y,2,5,2019-06-26
"어린이집",꽃동산어린이집,전라남도 여수시 신월로 533,전라남도 여수시 신월동 112-35,34.7237347,127.7054823,전라남도 여수시청,여수경찰서,Y,3,5,2019-06-26
"어린이집",해맑은어린이집,전라남도 여수시 화산2길 40,전라남도 여수시 화장동 775-15,34.7727169,127.6450685,전라남도 여수시청,여수경찰서,Y,2,8,2019-06-26
"어린이집",안데리센어린이집,전라남도 여수시,전라남도 여수시 문수동 793-9,34.7527660,127.6910533,전라남도 여수시청,여수경찰서,Y,1,8,2019-06-26
