"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",영광중앙초등학교,전라남도 영광군 영광읍 천년로13길 57-9,전라남도 영광군 영광읍 백학리 253,35.2797470720,126.505128,전라남도 영광군청,전라남도 영광경찰서,Y,7,4~6,2019-05-24
"초등학교",영광초등학교,전라남도 영광군 영광읍 중앙로 216-7,전라남도 영광군 영광읍 무령리 306,35.2789373480,126.5134893827,전라남도 영광군청,전라남도 영광경찰서,Y,5,10,2019-05-24
"초등학교",월송초등학교,,전라남도 영광군 영광읍 덕호리 137-2,35.306403,126.485409,전라남도 영광군청,전라남도 영광경찰서,Y,2,6,2019-05-24
"초등학교",대마초등학교,전라남도 영광군 대마면 영장로 277,전라남도 영광군 대마면 월산리 375,35.3031394703,126.581888,전라남도 영광군청,전라남도 영광경찰서,Y,4,6,2019-05-24
"초등학교",묘량중앙초등학교,전라남도 영광군 묘량면 동삼로2길 26,전라남도 영광군 묘량면 운당리 478,35.267701,126.5505403441,전라남도 영광군청,전라남도 영광경찰서,Y,4,7,2019-05-24
"초등학교",불갑초등학교,전라남도 영광군 불갑면 강항로 7,전라남도 영광군 불갑면 쌍운리 404,35.2116358979,126.5080133696,전라남도 영광군청,전라남도 영광경찰서,Y,5,8,2019-05-24
"초등학교",백수초등학교,전라남도 영광군 백수읍 백수로10길 21,전라남도 영광군 백수읍 천마리 589-3,35.2821010891,126.4206230602,전라남도 영광군청,전라남도 영광경찰서,Y,2,5,2019-05-24
"초등학교",백수서초등학교,전라남도 영광군 백수읍 백수로 787,전라남도 영광군 백수읍 대전리 405-1,35.2829852229,126.396499,전라남도 영광군청,전라남도 영광경찰서,Y,3,6,2019-05-24
"초등학교",군서초등학교,,전라남도 영광군 군서면 남죽리 257,35.256623,126.484608,전라남도 영광군청,전라남도 영광경찰서,Y,2,8,2019-05-24
"초등학교",군남초등학교,전라남도 영광군 군남면 군불로 135,전라남도 영광군 군남면 백양리 161-1,35.2365240210,126.4574775019,전라남도 영광군청,전라남도 영광경찰서,Y,2,6,2019-05-24
"초등학교",염산초등학교,전라남도 영광군 염산면 칠산로 124,전라남도 영광군 염산면 봉남리 195,35.2209543542,126.3665479499,전라남도 영광군청,전라남도 영광경찰서,Y,2,6,2019-05-24
"초등학교",홍농초등학교,전라남도 영광군 홍농읍 상하길 76-22,전라남도 영광군 홍농읍 상하리 222,35.3993639906,126.4478907021,전라남도 영광군청,전라남도 영광경찰서,Y,6,6,2019-05-24
"초등학교",홍농서초등학교,전라남도 영광군 홍농읍 홍농로4길 30,전라남도 영광군 홍농읍 성산리 74,35.4184397647,126.4401633483,전라남도 영광군청,전라남도 영광경찰서,Y,4,6,2019-05-24
"초등학교",법성초등학교,전라남도 영광군 법성면 용덕로 43,전라남도 영광군 법성면 대덕리 526,35.3593424965,126.4551300462,전라남도 영광군청,전라남도 영광경찰서,Y,4,6,2019-05-24
"유치원",중앙유치원,전라남도 영광군 영광읍 영대로 218,전라남도 영광군 영광읍 월평리 398,35.2860388685,126.5087904468,전라남도 영광군청,전라남도 영광경찰서,Y,2,4,2019-05-24
"유치원",영광유치원,전라남도 영광군 영광읍 물무로3길 3-8,전라남도 영광군 영광읍 무령리 359,35.2772255672,126.5136754821,전라남도 영광군청,전라남도 영광경찰서,Y,4,6,2019-05-24
"어린이집",원광어린이집,전라남도 영광군 영광읍 물무로2길 51,전라남도 영광군 영광읍 무령리 189,35.2774027264,126.511106,전라남도 영광군청,전라남도 영광경찰서,Y,4,4~6,2019-05-24
"어린이집",홍농아이원어린이집,전라남도 영광군 홍농읍 홍농로 474,전라남도 영광군 홍농읍 상하리 251-2,35.3962205196,126.447976,전라남도 영광군청,전라남도 영광경찰서,Y,2,10,2019-05-24
"어린이집",법성어린이집,전라남도 영광군 법성면 법성길1길 17-4,전라남도 영광군 법성면 법성리 498,35.3622856663,126.4466820736,전라남도 영광군청,전라남도 영광경찰서,Y,8,3~8,2019-05-24
"어린이집",푸른어린이집,전라남도 영광군 영광읍 월현로 50-5,전라남도 영광군 영광읍 단주리 345-2,35.280201,126.5004190139,전라남도 영광군청,전라남도 영광경찰서,Y,3,5,2019-05-24
"어린이집",영광어린이집,전라남도 영광군 영광읍 현암길 37-13,전라남도 영광군 영광읍 백학리 65-7,35.276521,126.508854,전라남도 영광군청,전라남도 영광경찰서,Y,3,5,2019-05-24
"어린이집",아람어린이집,전라남도 영광군 영광읍 옥당로 115-30,전라남도 영광군 영광읍 녹사리 43-1,35.2705233707,126.5030547755,전라남도 영광군청,전라남도 영광경찰서,N,0,4~6,2019-05-24
"어린이집",백수어린이집,전라남도 영광군 백수읍 백수로 947-5,전라남도 영광군 백수읍 양성리 369,35.282963,126.413143,전라남도 영광군청,전라남도 영광경찰서,N,0,4~7,2019-05-24
"어린이집",새염산어린이집,전라남도 영광군 염산면 칠산로2길 7-3,전라남도 영광군 염산면 봉남리 133-69,35.2188489946,126.3714189807,전라남도 영광군청,전라남도 영광경찰서,N,0,8,2019-05-24
