"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",미암초등학교,전라남도 영암군 미암면 미중로 61,전라남도 영암군 미암면 선황리 1189,34.6994739355,126.5734208268,영암군,영암경찰서,Y,5,6~8,2019-06-19
"어린이집",삼호어린이집,전라남도 영암군 삼호읍 중앙촌길 17-8,전라남도 영암군 삼호읍 용앙리 286-38,34.7471471485,126.4686822696,영암군,영암경찰서,Y,3,4~18,2019-06-19
"초등학교",서창초등학교,전라남도 영암군 삼호읍 서창호수길 4,전라남도 영암군 삼호읍 서창리 475,34.72846759,126.5322935,영암군,영암경찰서,Y,6,4~6,2019-06-19
"어린이집",원광어린이집,전라남도 영암군 영암읍 성밖로 32,전라남도 영암군 영암읍 교동리 2-11,34.7969689,126.6964509,영암군,영암경찰서,Y,3,8~14,2019-06-19
"초등학교",영암초등학교,전라남도 영암군 영암읍 영암초중고길 1,전라남도 영암군 영암읍 회문리 186,34.7971083637,126.6876774583,영암군,영암경찰서,Y,6,8~12,2019-06-19
"초등학교",덕진초등학교,전라남도 영암군 덕진면 백운선로 21,전라남도 영암군 덕진면 덕진리 310-2,34.8214851721,126.6987827633,영암군,영암경찰서,Y,4,12,2019-06-19
"초등학교",금정초등학교,전라남도 영암군 금정면 영나로 836,전라남도 영암군 금정면 용흥리 1052,34.8612844814,126.753418,영암군,영암경찰서,Y,3,8,2019-06-19
"초등학교",신북초등학교,전라남도 영암군 신북면 간은정로 67,전라남도 영암군 신북면 월평리 13,34.8911573746,126.6963494900,영암군,영암경찰서,Y,3,8,2019-06-19
"초등학교",시종초등학교,전라남도 영암군 시종면 내동중앙로 17,전라남도 영암군 시종면 내동리 15,34.8677334615,126.6074766557,영암군,영암경찰서,Y,4,8,2019-06-19
"초등학교",도포초등학교,전라남도 영암군 도포면 줄다리로 117,전라남도 영암군 도포면 덕화리 100-2,34.8365488663,126.6353365403,영암군,영암경찰서,Y,3,8,2019-06-19
"초등학교",구림초등학교,전라남도 영암군 군서면 왕인로 509,전라남도 영암군 군서면 동구림리 93-1,34.7637384717,126.6322437,영암군,영암경찰서,Y,3,12,2019-06-19
"초등학교",장천초등학교,전라남도 영암군 서호면 서호리 332,전라남도 영암군 서호면 장천리 575,34.755819,126.582237,영암군,영암경찰서,Y,4,16,2019-06-19
"초등학교",독천초등학교,전라남도 영암군 학산면 영산로 58,전라남도 영암군 학산면 독천리 85,34.7283164176,126.5644594944,영암군,영암경찰서,Y,3,12,2019-06-19
"초등학교",삼호중앙초등학교,전라남도 영암군 삼호읍 중앙촌길 35,전라남도 영암군 삼호읍 용앙리 280,34.74745219,126.4700083,영암군,영암경찰서,Y,4,12,2019-06-19
"초등학교",용당초등학교,전라남도 영암군 삼호읍 아산길 26-10,전라남도 영암군 삼호읍 용당리 378,34.7619161224,126.3996967005,영암군,영암경찰서,Y,3,6~30,2019-06-19
"초등학교",대불초등학교,전라남도 영암군 삼호읍 대불주거6로 41,전라남도 영암군 삼호읍 용앙리 1665-1,34.7570921712,126.4606411610,영암군,영암경찰서,Y,6,12~18,2019-06-19
"초등학교",삼호서초등학교,전라남도 영암군 삼호읍 신항로 77,전라남도 영암군 삼호읍 용당리 2178-1,34.7461910563,126.3779433019,영암군,영암경찰서,Y,7,12~36,2019-06-19
"초등학교",학산초등학교,전라남도 영암군 학산면 금계로 193,전라남도 영암군 학산면 금계리 487,34.7205601544,126.5967889812,영암군,영암경찰서,Y,3,8,2019-06-19
