"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",완도초교,전라남도 완도군 완도읍 중앙길 43,전라남도 완도군 완도읍 군내리 319,34.3132051745,126.7593423255,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",완도중앙초교,전라남도 완도군 완도읍 개포로135번길 37,전라남도 완도군 완도읍 가용리 29,34.3219390878,126.7401073407,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",청해초등학교,전라남도 완도군 완도읍 청해진로 1374,전라남도 완도군 완도읍 장좌리 600,34.3594174383,126.7278083293,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",화흥초등학교,전라남도 완도군 완도읍 청해진서로 824,전라남도 완도군 완도읍 화흥리 840,34.3255716016,126.7011789223,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",군외초등학교,전라남도 완도군 군외면 청해진서로 2020,전라남도 완도군 군외면 신학리 666,34.3794245787,126.6466237199,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",불목분교,전라남도 완도군 군외면 청해진북로 609,전라남도 완도군 군외면 불목리 242-1,34.3927341477,126.6993527616,전라남도 완도군,완도경찰서,N,,6~8,2019-10-07
"초등학교",신지동초등학교,전라남도 완도군 신지면 신지로 815-1,전라남도 완도군 신지면 신상리 211,34.3275799038,126.8509464717,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",약산초등학교,전라남도 완도군 약산면 약산로 351-1,전라남도 완도군 약산면 장용리 931,34.3940296895,126.8964679349,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",금일초등학교,전라남도 완도군 금일읍 구동2길 38,전라남도 완도군 금일읍 신구리 680,34.3554136647,127.0333049821,전라남도 완도군,완도경찰서,N,,6~8,2019-10-07
"초등학교",소안초등학교,전라남도 완도군 소안면 소안로 213,전라남도 완도군 소안면 비자리 940,34.1725557691,126.6542953271,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"유치원",완도유치원,전라남도 완도군 완도읍 개포로145번길 38-9,전라남도 완도군 완도읍 가용리 1054,34.3227527712,126.7429298673,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"어린이집",안디옥어린이집,전라남도 완도군 완도읍 청해진서로 59,전라남도 완도군 완도읍 군내리 1162-11,34.3116175208,126.7394438489,전라남도 완도군,완도경찰서,N,,6~8,2019-10-07
"초등학교",금당초등학교,전라남도 완도군 금당면 금당로 220-23,전라남도 완도군 금당면 육산리 260,34.4410427500,127.0612635320,전라남도 완도군,완도경찰서,N,,6~8,2019-10-07
"초등학교",청산초등학교,전라남도 완도군 청산면 청산로 1602-1,전라남도 완도군 청산면 도청리 988,34.1820510582,126.8577981544,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",보길초등학교,전라남도 완도군 보길면 부황길 67,전라남도 완도군 보길면 부황리 202,34.1625601258,126.5547495390,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",고금초등학교,전라남도 완도군 고금면 고금동로 17-33,전라남도 완도군 고금면 덕암리 644,34.3961312672,126.8000039233,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",보길동초등학교,전라남도 완도군 보길면 중리1길 6-11,전라남도 완도군 보길면 중통리 379-1,34.1637942827,126.5923753530,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",노화초등학교,전라남도 완도군 노화읍 노화서로 149,전라남도 완도군 노화읍 도청리 324,34.1954500397,126.5698479110,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",생영초등학교,전라남도 완도군 생일면 생일로579번길 3,전라남도 완도군 생일면 유서리 270,34.3330217565,126.9963661141,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"초등학교",넙도초등학교,전라남도 완도군 노화읍 넙도길 294-31,전라남도 완도군 노화읍 내리 488-1,34.1884592090,126.5042128782,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"어린이집",완도어린이집,전라남도 완도군 완도읍 청해진남로23번길 42-1,전라남도 완도군 완도읍 군내리 421-2,34.3110025269,126.7596354203,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"어린이집",장보고어린이집,전라남도 완도군 완도읍 청해진남로 44,전라남도 완도군 완도읍 군내리 788-1,34.3119196419,126.7547874056,전라남도 완도군,완도경찰서,N,,6~8,2019-10-07
"어린이집",엔절어린이집,전라남도 완도군 군외면 원동1길 77-2,전라남도 완도군 군외면 원동리 72-22,34.3914146092,126.6493049767,전라남도 완도군,완도경찰서,N,,6~8,2019-10-07
"어린이집",금일제일어린이집,전라남도 완도군 금일읍 도장길 18-1,전라남도 완도군 금일읍 화목리 814-2,34.3557444506,127.0214700587,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"어린이집",소안중앙어린이집,전라남도 완도군 소안면 비자34번길 18,전라남도 완도군 소안면 비자리 888-1,34.1723456416,126.6552289548,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"어린이집",보길성신어린이집,전라남도 완도군 보길면 보길월송길 45,전라남도 완도군 보길면 예송리 112-1,34.1580578545,126.5734817631,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
"유치원",완도초교병설,전라남도 완도군 완도읍 중앙길 43,전라남도 완도군 완도읍 군내리 319,34.3132051745,126.7593423255,전라남도 완도군,완도경찰서,Y,3,6~8,2019-10-07
