"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",중앙초등학교,전라남도 장성군 장성읍 제봉로 84,전라남도 장성군 장성읍 영천리 880,35.298771,126.786572,장성교육청,장성경찰서,Y,7,7,2018-06-07
"초등학교",성산초등학교,전라남도 장성군 장성읍 성산리 450,전라남도 장성군 장성읍 성산2길 21,35.326322,126.805605,장성교육청,장성경찰서,Y,6,7,2018-06-07
"초등학교",진원초등학교,전라남도 장성군 진원면 진남1로 199,전라남도 장성군 진원면 산정리 94,35.262808,126.822588,장성교육청,장성경찰서,Y,3,7,2018-06-07
"초등학교",진원동초등학교,전라남도 장성군 진원면 불태3로 245,전라남도 장성군 진원면 용산리 841-1,35.259628,126.863165,장성교육청,장성경찰서,Y,3,7,2018-06-07
"초등학교",분향초등학교,전라남도 장성군 남면 황토단감로 142-11,전라남도 장성군 남면 분향리 1083-8,35.239731,126.801496,장성교육청,장성경찰서,Y,3,7,2018-06-07
"초등학교",동화초등학교,전라남도 장성군 동화면 용정교촌길 45,전라남도 장성군 동화면 용정리 717-1,35.273338,126.736865,장성교육청,장성경찰서,Y,3,5,2018-06-07
"초등학교",삼서초등학교,전라남도 장성군 삼서면 대곡한실길 26,전라남도 장성군 삼서면 대곡리 320-1,35.229557,126.654006,장성교육청,장성경찰서,Y,4,7,2018-06-07
"초등학교",사창초등학교,전라남도 장성군 삼계면 사창로 64-17,전라남도 장성군 삼계면 사창리 270,35.260259,126.666044,장성교육청,장성경찰서,Y,4,7,2018-06-07
"초등학교",월평초등학교,전라남도 장성군 황룡면 신월산1길 10,전라남도 장성군 황룡면 월평리 61-2,35.290223,126.775693,장성교육청,장성경찰서,Y,3,7,2018-06-07
"초등학교",서삼초등학교,전라남도 장성군 서삼면 축령로 368,전라남도 장성군 서삼면 장산리 196,35.333419,126.767957,장성교육청,장성경찰서,Y,4,7,2018-06-07
"초등학교",북일초등학교,전라남도 장성군 북일면 신흥로 574,전라남도 장성군 북일면 오산리 106-1,35.384458,126.793664,장성교육청,장성경찰서,Y,2,7,2018-06-07
"초등학교",북이초등학교,전라남도 장성군 북이면 신창길 13,전라남도 장성군 북이면 신평리 75,35.433453,126.804661,장성교육청,장성경찰서,Y,4,7,2018-06-07
"초등학교",약수초등학교,전라남도 장성군 북하면 백양로 883,전라남도 장성군 북하면 약수리 409,35.407809,126.880664,장성교육청,장성경찰서,Y,2,7,2018-06-07
"어린이집",장성어린이집,전라남도 장성군 장성읍 제봉로 28,전라남도 장성군 장성읍 단광리 645-68,35.295237,126.783047,장성군청,장성경찰서,Y,4,7,2018-06-07
"어린이집",기독어린이집,전라남도 장성군 장성읍 매화6길 20-1,전라남도 장성군 장성읍 영천리 1070-1,35.300552,126.784034,장성군청,장성경찰서,Y,3,5,2018-06-07
"어린이집",삼계어린이집,전라남도 장성군 삼계면 사창로 116-6,전라남도 장성군 삼계면 월연리 302-11,35.255327,126.663308,장성군청,장성경찰서,Y,4,7,2018-06-07
"어린이집",늘푸른어린이집,전라남도 장성군 장성읍 수산길 40,전라남도 장성군 장성읍 수산리 461-1,35.325356,126.800753,장성군청,장성경찰서,Y,4,5,2018-06-07
"어린이집",정다운상무어린이집,전라남도 장성군 삼계면 영장로 1542-20,전라남도 장성군 삼계면 사창리 671-7,35.259691,126.657617,장성군청,장성경찰서,Y,3,4,2018-06-07
