"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",장흥초등학교,전라남도 장흥군 장흥읍 의향길 23,전라남도 장흥군 장흥읍 건산리 662,34.6837180558,126.9073834526,장흥군청,장흥경찰서,Y,7,7,2019-09-26
"초등학교",장흥서초등학교,전라남도 장흥군 장흥읍 칠거리예양로 40,전라남도 장흥군 장흥읍 예양리 120-1,34.6748255568,126.9017718368,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",장흥남초등학교,전라남도 장흥군 장흥읍 장흥대로 3298,전라남도 장흥군 장흥읍 순지리 73,34.6657577382,126.889822,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",관산초등학교,전라남도 장흥군 관산읍 관산로 64,전라남도 장흥군 관산읍 옥당리 405,34.561414,126.9399471674,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",관산남초등학교,전라남도 장흥군 관산읍 장흥대로 1350,전라남도 장흥군 관산읍 삼산리 97,34.5262989419,126.954696,장흥군청,장흥경찰서,Y,3,7,2019-09-26
"초등학교",대덕초등학교,전라남도 장흥군 대덕읍 대대로 947,전라남도 장흥군 대덕읍 연정리 390-1,34.4997121587,126.8904141416,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",용산초등학교,전라남도 장흥군 용산면 장흥대로 2445,전라남도 장흥군 용산면 접정리 376,34.6133789868,126.9146926984,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",안양초등학교,전라남도 장흥군 안양면 운정2길 14,전라남도 장흥군 안양면 운흥리 508,34.6518756238,126.9731524320,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",안양동초등학교,전라남도 장흥군 안양면 안양로 742,전라남도 장흥군 안양면 수문리 359-2,34.6346945450,127.0254547783,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",장동초등학교,전라남도 장흥군 장동면 흥성로 1500,전라남도 장흥군 장동면 북교리 306-4,34.746644,126.9940416251,장흥군청,장흥경찰서,Y,3,7,2019-09-26
"초등학교",장평초등학교,전라남도 장흥군 장평면 등촌길 10,전라남도 장흥군 장평면 등촌리 80,34.7759294484,126.9713512639,장흥군청,장흥경찰서,Y,3,7,2019-09-26
"초등학교",유치초등학교,전라남도 장흥군 유치면 유치로 48,전라남도 장흥군 유치면 조양리 695,34.8027343499,126.8355487529,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",부산초등학교,전라남도 장흥군 부산면 부유로 25-16,전라남도 장흥군 부산면 구룡리 378,34.7229109144,126.9012739263,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",회진초등학교,전라남도 장흥군 회진면 회진남구길 7,전라남도 장흥군 회진면 회진리 738-2,34.480011,126.9361519492,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"초등학교",회진명덕초등학교,전라남도 장흥군 회진면 회진로 805-17,전라남도 장흥군 회진면 대리 626,34.4794776725,126.967156,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"유치원",중앙유치원,전라남도 장흥군 장흥읍 읍성로 154,전라남도 장흥군 장흥읍 기양리 79,34.679032,126.901445,장흥군청,장흥경찰서,Y,2,7,2019-09-26
"어린이집",동화어린이집,전라남도 장흥군 장흥읍 흥성로 225-1,전라남도 장흥군 장흥읍 관덕리 239,34.689162,126.918865,장흥군청,장흥경찰서,Y,3,7,2019-09-26
"유치원",효성유치원,전라남도 장흥군 장흥읍 흥성로 37-8,전라남도 장흥군 장흥읍 건산리 757-3,34.6754539058,126.9076021523,장흥군청,장흥경찰서,Y,5,7,2019-09-26
