"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",진도초등학교,전라남도 진도군 진도읍 성내길 9-1,전라남도 진도군 진도읍 성내리 34-10,34.4853342,126.2654404739,전라남도 진도군청,진도경찰서,Y,5,6,2019-10-07
"초등학교",진도서초등학교,전라남도 진도군 진도읍 신흥길 110,전라남도 진도군 진도읍 수역리 1231-1,34.49791188,126.2403578,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"초등학교",군내북초등학교,전라남도 진도군 군내면 대야길 54,전라남도 진도군 군내면 녹진리 221-3,34.5643673425,126.2892593367,전라남도 진도군청,진도경찰서,Y,3,6,2019-10-07
"초등학교",고성초등학교,전라남도 진도군 고군면 고성길 2-3,전라남도 진도군 고군면 고성리 783-25,34.4989472451,126.3219096,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"초등학교",오산초등학교,전라남도 진도군 고군면 진도대로 288,전라남도 진도군 고군면오산리 1015-1,34.4919235039,126.3417846030,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"초등학교",의신초등학교,전라남도 진도군 의신면 돈지1길 29,전라남도 진도군 의신면 돈지리 662-2,34.4405139998,126.2799864252,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"초등학교",석교초등학교,전라남도 진도군 임회면 석교길 47-18,전라남도 진도군 임회면 석교리 419-2,34.4063991894,126.1921266054,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"초등학교",지산초등학교,전라남도 진도군 지산면 인지독치1길 21-5,전라남도 진도군 지산면 인지리 302-15,34.4226288080,126.1668857208,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"초등학교",조도초등학교,전라남도 진도군 조도면 창유1길 36-14,전라남도 진도군 조도면 창유리 402-3,34.29581903,126.0492442,전라남도 진도군청,진도경찰서,Y,4,6,2019-10-07
"유치원",중앙유치원,전라남도 진도군 진도읍 서문길 8-6,전라남도 진도군 진도읍 성내리 47-8,34.4848740061,126.2627971325,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"유치원",진도유치원,전라남도 진도군 진도읍 옥주길 48,전라남도 진도군 진도읍 동외리 729-6,34.4830019,126.2671631800,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"어린이집",은혜어린이집,전라남도 진도군 고군면 오일시2길 149,전라남도 진도군 고군면 고성리 418-4,34.4998818910,126.3169143398,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
"어린이집",진도어린이집,전라남도 진도군 진도읍 동외4길 80,전라남도 진도군 진도읍 동외리 536-1,34.4866994224,126.2737894537,전라남도 진도군청,진도경찰서,Y,2,6,2019-10-07
