"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",해남동초등학교,전라남도 해남군 해남읍 동초길 59-15,전라남도 해남군 해남읍 해리 321,34.5684562050,126.6054491526,해남군청,해남경찰서,Y,14,8,2019-06-19
"초등학교",해남서초등학교,전라남도 해남군 해남읍 중앙1로 182,전라남도 해남군 해남읍 성내리 44-2,34.5723156974,126.5970265159,해남군청,해남경찰서,Y,8,8,2019-06-19
"초등학교",삼산초등학교,전라남도 해남군 삼산면 고산로 586,전라남도 해남군 삼산면 충리 97-4,34.5155398812,126.6071972931,해남군청,해남경찰서,Y,2,10,2019-06-19
"초등학교",화산초등학교,전라남도 해남군 화산면 화산초길 9,전라남도 해남군 화산면 방축리 365-1,34.4923503,126.5165443482,해남군청,해남경찰서,Y,4,7,2019-06-19
"초등학교",송지초등학교,전라남도 해남군 송지면 산정1길 101,전라남도 해남군 송지면 산정리 724-1,34.3691439641,126.5204407815,해남군청,해남경찰서,Y,6,6,2019-06-19
"초등학교",북일초등학교,전라남도 해남군 북일면 백도로 849,전라남도 해남군 북일면 흥촌리 109,34.4673933398,126.6767422165,해남군청,해남경찰서,Y,4,7,2019-06-19
"초등학교",옥천초등학교,전라남도 해남군 옥천면 해강로 19,전라남도 해남군 옥천면 영춘리 573-1,34.5681027470,126.6491140852,해남군청,해남경찰서,Y,4,7,2019-06-19
"초등학교",마산초등학교,전라남도 해남군 마산면 은적사길 13,전라남도 해남군 마산면 화내리 210,34.6191407671,126.5729163428,해남군청,해남경찰서,Y,5,6,2019-06-19
"초등학교",황산초등학교,전라남도 해남군 황산면 시등로 150,전라남도 해남군 황산면 남리리 31-8,34.5759952557,126.4285303757,해남군청,해남경찰서,Y,4,7,2019-06-19
"초등학교",산이초등학교,전라남도 해남군 산이면 비석길 101-15,전라남도 해남군 산이면 초송리 593,34.6438962796,126.4461706921,해남군청,해남경찰서,Y,4,7,2019-06-19
"초등학교",산이서초등학교,전라남도 해남군 산이면 산이로 1736,전라남도 해남군 산이면 상공리 231-4,34.6768823,126.4108821804,해남군청,해남경찰서,Y,4,8,2019-06-19
"초등학교",화원초등학교,전라남도 해남군 화원면 청용길 117,전라남도 해남군 화원면 청용리 235-1,34.6731723590,126.3334016440,해남군청,해남경찰서,Y,5,7,2019-06-19
"초등학교",송지어란진초등학교,전라남도 해남군 송지면 어란로 441,전라남도 해남군 송지면 어란리 1507,34.3518177307,126.4772671862,해남군청,해남경찰서,Y,5,6,2019-06-19
"초등학교",송지송호초교,전라남도 해남군 송지면 송호길 5,전라남도 해남군 송지면 송호리 900-2,34.3167778,126.5185012,해남군청,해남경찰서,Y,3,8,2019-06-19
"유치원",원광유치원,전라남도 해남군 해남읍 군청길 58,전라남도 해남군 해남읍 구교리 250,34.5769569534,126.5994148529,해남군청,해남경찰서,Y,3,5,2019-06-19
"초등학교",북평초등학교,전라남도 해남군 북평면 볼무당길 40,전라남도 해남군 북평면 남창리 142,34.4081491,126.6312194561,해남군청,해남경찰서,Y,2,7,2019-06-19
"초등학교",현산초등학교,전라남도 해남군 현산면 현산북평로 92,전라남도 해남군 현산면 일평리 876-2,34.4594369221,126.5535626167,해남군청,해남경찰서,Y,2,7,2019-06-19
"초등학교",화산남초등학교,전라남도 해남군 화산면 사포길 10,전라남도 해남군 화산면 평호리 12-1,34.4519519767,126.4849710635,해남군청,해남경찰서,Y,4,7,2019-06-19
"초등학교",계곡초등학교,전라남도 해남군 계곡면 성진길 6-37,전라남도 해남군 계곡면 성진리 231-1,34.6462341234,126.6574763616,해남군청,해남경찰서,Y,4,8,2019-06-19
"초등학교",현산남초교,전라남도 해남군 현산면 입제길 40,전라남도 해남군 현산면 구산리 404-1,34.4285524577,126.5851414265,해남군청,해남경찰서,Y,3,6,2019-06-19
"초등학교",송지서정초교,전라남도 해남군 송지면 달마로 524,전라남도 해남군 송지면 서정리 90,34.3893617518,126.5607116664,해남군청,해남경찰서,Y,5,7,2019-06-19
"어린이집",아트빌어린이집,전라남도 해남군 해남읍 서림길 17,전라남도 해남군 해남읍 구교리 342,34.5750711886,126.5928893469,해남군청,해남경찰서,Y,4,10,2019-06-19
"유치원",미라클유치원,전라남도 해남군 해남읍 구교3길 17-1,전라남도 해남군 해남읍 구교리 584,34.5779439,126.5920979,해남군청,해남경찰서,Y,4,10,2019-06-19
"유치원",해오름유치원,전라남도 해남군 해남읍 법원길 8,전라남도 해남군 해남읍 구교리 394,34.5765862,126.5913041690,해남군청,해남경찰서,Y,4,13,2019-06-19
"초등학교",해남서초등학교후문,전라남도 해남군 해남읍 중앙1로 182,전라남도 해남군 해남읍 성내리 44-2,34.5723156974,126.5970265159,해남군청,해남경찰서,Y,3,8,2019-06-19
"초등학교",문내 우수영초등학교,전라남도 해남군 문내면 동영길117,전라남도 해남군 문내면 난대리 517,34.6038506447,126.312736882,해남군청,해남경찰서,Y,5,6,2019-06-19
"초등학교",마산초등학교 용전분교,전라남도 해남군 마산면 산이로 117-64,전라남도 해남군 마산면 용전리 496-1,34.5949050693,126.545567,해남군청,해남경찰서,N,4,8,2019-06-19
