"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",화순초등학교,전라남도 화순군 화순읍 동헌길 9-7,전라남도 화순군 화순읍 교리 84,35.0658855399,126.9853576612,전라남도 화순군청,화순경철서,Y,11,,2019-10-08
"초등학교",오성초등학교,전라남도 화순군 화순읍 오성로 516,전라남도 화순군 화순읍 벽라리 229,35.0522016096,126.9632972248,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",천태초등학교,전라남도 화순군 도암면 천태로 526,전라남도 화순군 도암면 원천리 252,34.9459371753,126.8927575902,전라남도 화순군청,화순경철서,Y,4,,2019-10-08
"초등학교",춘양초등학교,전라남도 화순군 춘양면 춘양로 124,전라남도 화순군 춘양면 석정리 239,34.9490351445,126.9590956185,전라남도 화순군청,화순경철서,Y,6,,2019-10-08
"초등학교",이양초등학교,전라남도 화순군 이양면 이양로 36,전라남도 화순군 이양면 이양리 317,34.8828609436,126.9879629929,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",청풍초등학교,전라남도 화순군 청풍면 평지촌길 54,전라남도 화순군 청풍면 차리 270,34.8755565353,126.9701967147,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",사평초등학교,전라남도 화순군 남면 김삿갓로 3,전라남도 화순군 남면 사평리 940-1,35.0090314162,127.0931613952,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",동복초등학교,전라남도 화순군 동복면 오지호로 300,전라남도 화순군 동복면 칠정리 702,35.0725433949,127.1277438032,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",능주초등학교,전라남도 화순군 능주면 정암길 100-10,전라남도 화순군 능주면 잠정리 333,34.9882450621,126.9577442693,전라남도 화순군청,화순경철서,Y,3,,2019-10-08
"초등학교",동면초등학교,전라남도 화순군 동면 충의로 789,전라남도 화순군 동면 장동리 351,35.0318037202,127.0414452868,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",도곡초등학교,전라남도 화순군 도곡면 천암1길 71,전라남도 화순군 도곡면 천암리 191,35.0131004485,126.9094809758,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",아산초등학교,전라남도 화순군 북면 학천길 22-2,전라남도 화순군 북면 이천리 55,35.1683714132,127.1324774191,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
"초등학교",만연초등학교,전라남도 화순군 화순읍 알메로 72,전라남도 화순군 화순읍 일심리 862,35.0613793,126.9949397069,전라남도 화순군청,화순경철서,Y,12,,2019-10-08
"초등학교",제일초등학교,전라남도 화순군 화순읍 알메로 8,전라남도 화순군 화순읍 일심리 327,35.0562380014,126.9948128633,전라남도 화순군청,화순경철서,Y,9,,2019-10-08
"초등학교",도곡중앙초등학교,전라남도 화순군 도곡면 고인돌1로 115,전라남도 화순군 도곡면 월곡리 493,34.9877688639,126.9106742343,전라남도 화순군청,화순경철서,Y,3,,2019-10-08
"초등학교",한천초등학교,전라남도 화순군 한천면 청계길 26,전라남도 화순군 한천면 한계리 183,34.9787264892,127.0043937371,전라남도 화순군청,화순경철서,Y,5,,2019-10-08
