"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",가평초등학교병설유치원,전라북도 고창군 신림면 가평로 472,전라북도 고창군 신림면 가평리 640,35.4779098510,126.7385160537,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",가평초등학교,전라북도 고창군 신림면 가평로 472,전라북도 고창군 신림면 가평리 640,35.4779098510,126.7385160537,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",고수초등학교병설유치원,전라북도 고창군 고수면 고수로 93,전라북도 고창군 고수면 황산리 215,35.4044754311,126.6859996200,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",고수초등학교,전라북도 고창군 고수면 고수로 93,전라북도 고창군 고수면 황산리 215,35.4044754311,126.6859996200,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",고창꿈푸른유치원,전라북도 고창군 고창읍 남정2길 30,전라북도 고창군 고창읍 읍내리 542-16,35.4301698268,126.6985991963,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",고창남초등학교,전라북도 고창군 고창읍 중거리당산로 111,전라북도 고창군 고창읍 읍내리 542-2,35.4291937611,126.6975412684,전라북도 고창군,고창경찰서,Y,4,9,2019-06-20
"초등학교",고창초등학교,전라북도 고창군 고창군 중앙로 259,전라북도 고창군 고창읍 교촌리 281-1,35.4356168550,126.7032159146,전라북도 고창군,고창경찰서,Y,5,18,2019-06-20
"유치원",공음초등학교병설유치원,전라북도 고창군 공음면 공음길 20,전라북도 고창군 공음면 칠암리 519,35.3768957242,126.5114318483,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",공음초등학교,전라북도 고창군 공음면 공음길 20,전라북도 고창군 공음면 칠암리 519,35.3768957242,126.5114318483,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",대산초등학교병설유치원,전라북도 고창군 대산면 장자산로 669,전라북도 고창군 대산면 율촌리 272,35.3285758854,126.5637273590,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",대산초등학교,전라북도 고창군 대산면 장자산로 669,전라북도 고창군 대산면 율촌리 272,35.3285758854,126.5637273590,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",대아초등학교병설유치원,전라북도 고창군 아산면 녹두로 776,전라북도 고창군 아산면 하갑리 188,35.4394968819,126.6335144648,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",대아초등학교,전라북도 고창군 아산면 녹두로 776,전라북도 고창군 아산면 하갑리 188,35.4394968819,126.6335144648,전라북도 고창군,고창경찰서,Y,3,9,2019-06-20
"유치원",동호초등학교병설유치원,전라북도 고창군 해리면 신동호길 18,전라북도 고창군 해리면 동호리 산8,35.5075645193,126.4941693454,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",동호초등학교,전라북도 고창군 해리면 신동호길 18,전라북도 고창군 해리면 동호리 산8,35.5075645193,126.4941693454,전라북도 고창군,고창경찰서,Y,1,9,2019-06-20
"유치원",매산초등학교병설유치원,전라북도 고창군 대산면 매산초등길 22,전라북도 고창군 대산면 매산리 196-3,35.3402273279,126.5945393919,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",매산초등학교,전라북도 고창군 대산면 매산초등길 22,전라북도 고창군 대산면 매산리 196-3,35.3402273279,126.5945393919,전라북도 고창군,고창경찰서,Y,6,9,2019-06-20
"유치원",무장초등학교병설유치원,전라북도 고창군 무장면 무장초등길 24,전라북도 고창군 무장면 성내리 150,35.4144022197,126.5644763363,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",무장초등학교,전라북도 고창군 무장면 무장초등길 24,전라북도 고창군 무장면 성내리 150,35.4144022197,126.5644763363,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",봉암초등학교병설유치원,전라북도 고창군 부안면 인촌로 505,전라북도 고창군 부안면 봉암리 211,35.5583863191,126.6277503947,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",봉암초등학교,전라북도 고창군 부안면 인촌로 505,전라북도 고창군 부안면 봉암리 211,35.5583863191,126.6277503947,전라북도 고창군,고창경찰서,Y,4,9,2019-06-20
"유치원",부안초등학교병설유치원,전라북도 고창군 부안면 복분자로 806,전라북도 고창군 부안면 오산리 205,35.5118573845,126.6632046888,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",부안초등학교,전라북도 고창군 부안면 복분자로 806,전라북도 고창군 부안면 오산리 205,35.5118573845,126.6632046888,전라북도 고창군,고창경찰서,Y,3,9,2019-06-20
"유치원",상하초등학교병설유치원,전라북도 고창군 상하면 상하1길 36,전라북도 고창군 상하면 장산리 78,35.4444331826,126.4880354985,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",상하초등학교,전라북도 고창군 상하면 상하1길 36,전라북도 고창군 상하면 장산리 78,35.4444331826,126.4880354985,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",선동초등학교병설유치원,전라북도 고창군 공음면 청보리로 1010,전라북도 고창군 공음면 선동리 615-1,35.3679828776,126.5561253318,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",선동초등학교,전라북도 고창군 공음면 청보리로 1010,전라북도 고창군 공음면 선동리 615-1,35.3679828776,126.5561253318,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",성내초등학교병설유치원,전라북도 고창군 성내면 시기2길 2,전라북도 고창군 성내면 양계리 481,35.5380547023,126.7447783872,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",성내초등학교,전라북도 고창군 성내면 시기2길 2,전라북도 고창군 성내면 양계리 481,35.5380547023,126.7447783872,전라북도 고창군,고창경찰서,Y,1,9,2019-06-20
"유치원",성송초등학교병설유치원,전라북도 고창군 성송면 백토1길 10,전라북도 고창군 성송면 판정리 725,35.3562522985,126.6435420457,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",성송초등학교,전라북도 고창군 성송면 백토1길 10,전라북도 고창군 성송면 판정리 725,35.3562522985,126.6435420457,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",신림초등학교병설유치원,전라북도 고창군 신림면 동법지길 61,전라북도 고창군 신림면 법지리 산31,35.4942353484,126.7001984087,전라북도 고창군,고창경찰서,Y,,18,2019-06-20
"초등학교",신림초등학교,전라북도 고창군 신림면 동법지길 61,전라북도 고창군 신림면 법지리 산31,35.4942353484,126.7001984087,전라북도 고창군,고창경찰서,Y,2,18,2019-06-20
"유치원",심원초등학교병설유치원,전라북도 고창군 심원면 심원로 229,전라북도 고창군 심원면 월산리 725,35.5257123785,126.5523918980,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",심원초등학교,전라북도 고창군 심원면 심원로 229,전라북도 고창군 심원면 월산리 725,35.5257123785,126.5523918980,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",해리초등학교병설유치원,전라북도 고창군 해리면 해리중앙로 152,전라북도 고창군 해리면 안산리 504,35.4659049890,126.5359776521,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",해리초등학교,전라북도 고창군 해리면 해리중앙로 152,전라북도 고창군 해리면 안산리 504,35.4659049890,126.5359776521,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
"유치원",흥덕초등학교병설유치원,전라북도 고창군 흥덕면 흥덕초등길 13,전라북도 고창군 흥덕면 흥덕리 273-1,35.5196517635,126.7015106446,전라북도 고창군,고창경찰서,Y,,9,2019-06-20
"초등학교",흥덕초등학교,전라북도 고창군 흥덕면 흥덕초등길 13,전라북도 고창군 흥덕면 흥덕리 273-1,35.5196517635,126.7015106446,전라북도 고창군,고창경찰서,Y,2,9,2019-06-20
