"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",군산월명초등학교,전라북도 군산시 청소년회관로 23 (송풍동),전라북도 군산시 송풍동 925-3,35.9787188,126.7003827,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",군산남초등학교,전라북도 군산시 삼학7길 4 (미원동),전라북도 군산시 미원동 343,35.9789871,126.7145023,전라북도 군산시청,군산경찰서,Y,8,,2019-09-06
"초등학교",옥구초등학교,전라북도 군산시 옥구읍 옥구로 50,전라북도 군산시 옥구읍 선제리 468,35.9223412,126.6805527,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",성산초등학교,전라북도 군산시 성산면 동군산로 39,전라북도 군산시 성산면 고봉리 328,35.9907057,126.7857515,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",서수초등학교,전라북도 군산시 서수면 항쟁로 199,전라북도 군산시 서수면 서수리 760,35.9830709,126.8765583,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",군산신풍초등학교,전라북도 군산시 하나운3길 7 (나운동),전라북도 군산시 나운동 835-1,35.9645722,126.6958354,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",군산수송초등학교,전라북도 군산시 월명로 312 (수송동),전라북도 군산시 수송동 396-9,35.9726556,126.7162481,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",회현초등학교,전라북도 군산시 회현면 회현로 139,전라북도 군산시 회현면 대정리 139,35.9153287,126.7522098,전라북도 군산시청,군산경찰서,Y,6,,2019-09-06
"초등학교",금암초등학교,전라북도 군산시 서수면 황등서로 351-8,전라북도 군산시 서수면 금암리 261,36.0059801,126.9077028,전라북도 군산시청,군산경찰서,Y,2,,2019-09-06
"초등학교",문창초등학교,전라북도 군산시 공항로 394 (산북동),전라북도 군산시 산북동 2701,35.9564949,126.6555416,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",대야초등학교 광산분교,전라북도 군산시 대야면 번영로 1421,전라북도 군산시 대야면 접산리 391-15,35.9360196,126.8668848,전라북도 군산시청,군산경찰서,Y,2,,2019-09-06
"초등학교",개정초등학교,전라북도 군산시 개정면 동정1길 5,전라북도 군산시 개정면 아동리 233-3,35.963167,126.769079,전라북도 군산시청,군산경찰서,Y,4,,2019-09-06
"초등학교",군산서초등학교,전라북도 군산시 중앙로 230 (금동),전라북도 군산시 금동 20-3,35.9905162,126.7060668,전라북도 군산시청,군산경찰서,Y,9,,2019-09-06
"초등학교",군산경포초등학교,전라북도 군산시 백릉로 75 (조촌동),전라북도 군산시 조촌동 461,35.9764020,126.7350732,전라북도 군산시청,군산경찰서,Y,6,,2019-09-06
