"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",교룡초등학교,전라북도 남원시 광천남길 654(향교동),전라북도 남원시 향교동 740-2,35.4166539071,127.3782071804,남원시청,남원경찰서,Y,10,14,2019-09-10
"초등학교",금지동초등학교,전라북도 남원시 금지면 금지순환길 888-10,전라북도 남원시 금지면 옹정리 815-1,35.3564774693,127.2986490349,남원시청,남원경찰서,Y,6,7,2019-09-10
"초등학교",금지초등학교,전라북도 남원시 금지면 택내길 36-37,전라북도 남원시 금지면 택내리 37-2,35.3334118,127.2934959445,남원시청,남원경찰서,Y,4,7,2019-09-10
"초등학교",남원초등학교,전라북도 남원시 가방뜰길 18(금동),전라북도 남원시 금동 343-1,35.4024241367,127.3746708556,남원시청,남원경찰서,Y,19,8,2019-09-10
"초등학교",노암초등학교,전라북도 남원시 여수길 14(노암동),전라북도 남원시 노암동 270,35.3959506258,127.3764901729,남원시청,남원경찰서,Y,16,8,2019-09-10
"초등학교",대강초등학교,전라북도 남원시 대강면 섬진로 852,전라북도 남원시 대강면 사석리 732-4,35.3463035926,127.2291523348,남원시청,남원경찰서,Y,9,6.8,2019-09-10
"초등학교",대산초등학교,전라북도 남원시 대산면 운교1길 10,전라북도 남원시 대산면 운교리 178,35.4320716389,127.3270184860,남원시청,남원경찰서,Y,6,7,2019-09-10
"초등학교",덕과초등학교,전라북도 남원시 덕과면 덕오로 289,전라북도 남원시 덕과면 고정리 505-2,35.5138919631,127.3538263346,남원시청,남원경찰서,Y,6,16,2019-09-10
"초등학교",도통초등학교,전라북도 남원시 대교2길 22(도통동),전라북도 남원시 도통동 613,35.413763,127.3947571820,남원시청,남원경찰서,Y,14,8,2019-09-10
"유치원",딩동댕어린이집,전라북도 남원시 칠승리길 5(신정동),전라북도 남원시 신정동 159-1,35.4054173,127.3642793405,남원시청,남원경찰서,Y,2,6.5,2019-09-10
"초등학교",보절초등학교,전라북도 남원시 보절면 신흥2길 5,전라북도 남원시 보절면 신파리 856-1,35.5142795888,127.4006500735,남원시청,남원경찰서,Y,9,8,2019-09-10
"초등학교",사매초등학교,전라북도 남원시 사매면 오신2길 7,전라북도 남원시 사매면 오신리 618,35.4995314640,127.3604007341,남원시청,남원경찰서,Y,8,16,2019-09-10
"초등학교",산내초등학교,전라북도 남원시 산내면 대정길 99,전라북도 남원시 산내면 대정리 649,35.4199202239,127.6275669379,남원시청,남원경찰서,Y,8,6,2019-09-10
"초등학교",산동초등학교,전라북도 남원시 산동면 요천로 2929,전라북도 남원시 산동면 태평리 138,35.4923105146,127.4767199859,남원시청,남원경찰서,Y,9,12.4,2019-09-10
"초등학교",서원초등학교,전라북도 남원시 대산면 남문로 109,전라북도 남원시 대산면 수덕리 20,35.4046547989,127.3434736547,남원시청,남원경찰서,Y,7,5.6,2019-09-10
"유치원",소화유치원,전라북도 남원시 남문로 498(쌍교동),전라북도 남원시 쌍교동 111,35.4054982787,127.3853504324,남원시청,남원경찰서,N,0,8.2,2019-09-10
"초등학교",송동초등학교,전라북도 남원시 송동면 노송로 624-6,전라북도 남원시 송동면 신평리 773,35.3552804,127.3361879708,남원시청,남원경찰서,Y,12,7,2019-09-10
"초등학교",수지초등학교,전라북도 남원시 수지면 내호곡3길 21,전라북도 남원시 수지면 호곡리 800,35.3370052,127.3735197096,남원시청,남원경찰서,Y,8,7,2019-09-10
"초등학교",아영초등학교,전라북도 남원시 아영면 고인청계길 15,전라북도 남원시 아영면 청계리 42-3,35.5058945695,127.6097954,남원시청,남원경찰서,Y,12,5,2019-09-10
"초등학교",오동초등학교,전라북도 남원시 이백면 이백로 147,전라북도 남원시 이백면 척문리 420-1,35.4273090750,127.4233392357,남원시청,남원경찰서,Y,9,14,2019-09-10
"초등학교",왕치초등학교,전라북도 남원시 박달길 37(용정동),전라북도 남원시 용정동 111,35.4345880848,127.3822765,남원시청,남원경찰서,Y,6,8,2019-09-10
"초등학교",용성초등학교,전라북도 남원시 용성로 29(동충동),전라북도 남원시 동충동 192-4,35.4093661069,127.3798553591,남원시청,남원경찰서,Y,14,15,2019-09-10
"초등학교",운봉초등학교,전라북도 남원시 운봉읍 운봉로 725,전라북도 남원시 운봉읍 서천리 65-4,35.4412882455,127.5330643186,남원시청,남원경찰서,Y,15,7.2,2019-09-10
"초등학교",원천초등학교,전라북도 남원시 주천면 외평2길 23,전라북도 남원시 주천면 장안리 248,35.3884551129,127.4454998,남원시청,남원경찰서,Y,10,6,2019-09-10
"초등학교",월락초등학교,전라북도 남원시 용성로 321(월락동),전라북도 남원시 월락동 162-4,35.4236711177,127.4044820952,남원시청,남원경찰서,Y,12,16,2019-09-10
"초등학교",이백초등학교,전라북도 남원시 이백면 평촌길 30,전라북도 남원시 이백면 평촌리 104,35.4297408869,127.4612159564,남원시청,남원경찰서,Y,4,6,2019-09-10
"초등학교",인월초등학교,전라북도 남원시 인월면 인월1길 55,전라북도 남원시 인월면 서무리 688-14,35.4640887898,127.6018311767,남원시청,남원경찰서,Y,13,10,2019-09-10
"초등학교",주생초등학교,전라북도 남원시 주생면 소지길 21-5,전라북도 남원시 주생면 지당리 480-9,35.3832521346,127.3258792525,남원시청,남원경찰서,Y,7,6,2019-09-10
