"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",무주초등학교,전라북도 무주군 무주읍 향학로 43,전라북도 무주군 무주읍 읍내리 271-12,36.0079446,127.6625904273,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",무주중앙초등학교,전라북도 무주군 무주읍 향학로 87,전라북도 무주군 무주읍 읍내리 416,36.0129839806,127.6645092495,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",부당초등학교,전라북도 무주군 부남면 부남로 1785,전라북도 무주군 부남면 가당리 448-2,36.0154999,127.5801172205,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",구천초등학교,전라북도 무주군 설천면 구천동로 898,전라북도 무주군 설천면 삼공리 314,35.9092296,127.7771945120,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",안성초등학교,전라북도 무주군 안성면 칠연로 58,전라북도 무주군 안성면 장기리 1309,35.8657673402,127.6553062167,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",설천초등학교,전라북도 무주군 설천면 무설로 1599,전라북도 무주군 설천면 소천리 904-27,36.0092897,127.7888856431,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",적상초등학교,전라북도 무주군 적상면 여용로 269,전라북도 무주군 적상면 사산리 1210-1,35.9350974103,127.6565827621,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",괴목초등학교,전라북도 무주군 적상면 괴목로 536-4,전라북도 무주군 적상면 포내리 803,35.9466355916,127.7160355416,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",부남초등학교,전라북도 무주군 부남면 대소길 10,전라북도 무주군 부남면 대소리 505,35.9727293452,127.5605266893,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"초등학교",무풍초등학교,전라북도 무주군 무풍면 대덕산로 926,전라북도 무주군 무풍면 현내리 626,35.9675680718,127.8483616821,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
"유치원",무주반디유치원,전라북도 무주군 무주읍 무설로 127,전라북도 무주군 무주읍 오산리 302-2,36.0126394023,127.6879254,전라북도 무주군청,무주경찰서,Y,,,2019-11-27
