"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",행안초등학교,전라북도 부안군 행안면 월륜길 18,전라북도 부안군 부안 행안 신기 199-1,35.7195100,126.716704,부안군,부안경찰서,Y,2,7,2019-09-11
"어린이집",해바라기유치원(어린이집),전라북도 부안군 부안읍 부령로 48,전라북도 부안군 부안 부안 신운 202-1,35.733131,126.747661,부안군,부안경찰서,Y,2,12,2019-09-11
"초등학교",창북초등학교,전라북도 부안군 계화면 창북중앙길 115,전라북도 부안군 부안 계화 창북 858,35.761719,126.693995,부안군,부안경찰서,Y,2,12,2019-09-11
"초등학교",줄포초등학교,전라북도 부안군 줄포면 줄포초교길 16,전라북도 부안군 부안 줄포 줄포 200,35.591829,126.681391,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",주산초등학교,전라북도 부안군 주산면 주산초교길 86-11,전라북도 부안군 부안 주산 갈촌 289-1,35.666482,126.714655,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",장신초등학교,전라북도 부안군 하서면 석불로 68,전라북도 부안군 부안 하서 장신 72,35.717402,126.626657,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",위도초등학교,전라북도 부안군 위도면 진리잔등로 113-3,전라북도 부안군 부안 위도 치도 60-1,35.595805,126.292592,부안군,부안경찰서,Y,2,7,2019-09-11
"어린이집",원광(예본)어린이집,전라북도 부안군 부안읍 당산로 69-1,전라북도 부안군 부안 부안 봉덕 177-1,35.7308097,126.730728,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",우덕초등학교,전라북도 부안군 상서면 부안로 1971,전라북도 부안군 부안 상서 가오 546-1,35.683959,126.676702,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",영전초등학교,전라북도 부안군 보안면 부안로 1158,전라북도 부안군 부안 보안 영전 515,35.612031,126.669437,부안군,부안경찰서,Y,2,12,2019-09-11
"초등학교",상서초등학교,전라북도 부안군 상서면 고인돌로 314,전라북도 부안군 부안 상서 통정 416-2,35.707908,126.658577,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",부안초등학교,전라북도 부안군 부안읍 부풍로 29,전라북도 부안군 부안 부안 동중 173-3,35.728962,126.733664,부안군,부안경찰서,Y,4,7,2019-09-11
"초등학교",부안동초등학교,전라북도 부안군 부안읍 석정로 313,전라북도 부안군 부안 부안 봉덕 446,35.716876,126.738524,부안군,부안경찰서,Y,4,12,2019-09-11
"초등학교",부안남초등학교,전라북도 부안군 부안읍 연곡로 7,전라북도 부안군 부안 부안 연곡 398-4,35.701862,126.734472,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",변산초등학교,전라북도 부안군 변산면 지서1길 11,전라북도 부안군 부안 변산 지서 383-2,35.663091,126.528415,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",백산초등학교,전라북도 부안군 백산면 백산로 304,전라북도 부안군 부안 백산 평교 223,35.70121862,126.786535,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",백룡초등학교,전라북도 부안군 백산면 시기길 15,전라북도 부안군 부안 백산 용계 74-2,35.718729,126.810669,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",백련초등학교,전라북도 부안군 하서면 변산로 1203,전라북도 부안군 부안 하서 백련 555-3,35.708072,126.600574,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",동진초등학교,전라북도 부안군 동진면 동진로 145,전라북도 부안군 부안 동진 봉황 212-3,35.7530297,126.742929,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",동북초등학교,전라북도 부안군 동진면 제전길 63,전라북도 부안군 부안 동진 본덕 265-4,35.775307,126.730823,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",곰소초등학교,전라북도 부안군 진서면 작도길 7,전라북도 부안군 부안 진서 진서 1047,35.595644,126.599707,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",계화초등학교,전라북도 부안군 계화면 계화로 475,전라북도 부안군 부안 계화 계화 233,35.785575,126.637836,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",격포초등학교,전라북도 부안군 변산면 격포윗길 11,전라북도 부안군 부안 변산 격포 271-53,35.626001,126.474461,부안군,부안경찰서,Y,2,7,2019-09-11
"초등학교",하서초등학교,전라북도 부안군 하서면 서당로 99,전라북도 부안군 부안 하서 청호 598-1,35.720352,126.649128,부안군,부안경찰서,Y,2,7,2019-09-11
"유치원",뽀뽀뽀 유치원,전라북도 부안군 부안읍 옹정로 317-1,전라북도 부안군 부안 부안 봉덕 415-3,35.713713,126.737845,부안군,부안경찰서,Y,2,7,2019-09-11
"어린이집",엄마사랑어린이집,전라북도 부안군 부안읍 석정로 78,전라북도 부안군 부안읍 선은리 642-1,35.738579,126.734384,부안군,부안경찰서,Y,2,7,2019-09-11
"어린이집",언덕위어린이집,전라북도 부안군 부안읍 석정로49-6,전라북도 부안군 부안읍 선은리 585-6,35.741585,126.734497,부안군,부안경찰서,Y,2,7,2019-09-11
