"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",순창초등학교,"전라북도 순창군 순창읍 순창7길 40 (순창초 정문,옆문,후문)",전라북도 순창군 순창읍 순화리 313,35.3751137539,127.1391707960,전라북도 순창군청,순창경찰서,Y,10,6,2020-01-08
"초등학교",중앙초등학교,"전라북도 순창군 순창읍 장류로 385 (중앙초 정문, 후문)",전라북도 순창군 순창읍 남계리 270,35.3776817690,127.1444312491,전라북도 순창군청,순창경찰서,Y,4,12,2020-01-08
"초등학교",옥천초등학교,전라북도 순창군 순창읍 순창6길 33 (옥천초 정문),전라북도 순창군 순창읍 남계리 362-2,35.37303205,127.1464918,전라북도 순창군청,순창경찰서,Y,4,6,2020-01-08
"초등학교",구림초등학교,전라북도 순창군 구림면 방화로 6 (구림초 정문),전라북도 순창군 구림면 운남리 233,35.4530083071,127.1004117346,전라북도 순창군청,순창경찰서,Y,6,6,2020-01-08
"초등학교",금과초등학교,전라북도 순창군 금과면 신매우1길 11 (금과초 정문),전라북도 순창군 금과면 매우리 145,35.3399601200,127.0871684753,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"초등학교",동계초등학교,전라북도 순창군 동계면 동계로 35 (동계초 정문),전라북도 순창군 동계면 현포리 568,35.440777,127.2400766,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"초등학교",풍산초등학교,전라북도 순창군 풍산면 금풍로 997-10 (풍산초 정문),전라북도 순창군 풍산면 반월리 153,35.3371726,127.1381113,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"초등학교",팔덕초등학교,전라북도 순창군 팔덕면 강천로 328 (팔덕초 정문),전라북도 순창군 팔덕면 용산리 353-1,35.3927626586,127.0977525169,전라북도 순창군청,순창경찰서,Y,5,6,2020-01-08
"초등학교",인계초등학교,전라북도 순창군 인계면 인성로 162-7 (인계초 정문),전라북도 순창군 인계면 가성리 493,35.4142357041,127.1588976350,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"초등학교",적성초등학교,전라북도 순창군 적성면 적성로 149-7 (적성초 정문),전라북도 순창군 적성면 고원리 616,35.3988921390,127.2104333552,전라북도 순창군청,순창경찰서,Y,4,6,2020-01-08
"초등학교",복흥동산초등학교,전라북도 순창군 복흥면 동산길 17 (복흥 동산초 정문),전라북도 순창군 복흥면 동산리 291-1,35.4559189269,126.9205033,전라북도 순창군청,순창경찰서,Y,4,6,2020-01-08
"초등학교",유등초등학교,전라북도 순창군 유등면 유등로 413 (유등초 정문),전라북도 순창군 유등면 외이리 186,35.3621363758,127.1884287718,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"초등학교",복흥초등학교,전라북도 순창군 복흥면 정산로 12 (복흥초 정문),전라북도 순창군 복흥면 정산리 302,35.4312046004,126.9319741772,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"초등학교",쌍치초등학교,전라북도 순창군 쌍치면 반계길 40 (쌍치초 정문),전라북도 순창군 쌍치면 쌍계리 129,35.5016884449,127.0028921773,전라북도 순창군청,순창경찰서,Y,4,6,2020-01-08
"초등학교",쌍치시산초등학교,전라북도 순창군 쌍치면 시산길 45 (쌍치 시산초 정문),전라북도 순창군 쌍치면 시산리 110,35.4916644176,126.9809607281,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"어린이집",꿈초롱빛초롱어린이집,전라북도 순창군 순창읍 순창7길 24-1,전라북도 순창군 순창읍 순화리 242-1,35.3749351664,127.1408507,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
"어린이집",순창어린이집,전라북도 순창군 순창읍 장류로 295-2 (순창어린이집 앞),전라북도 순창군 순창읍 순화리 473-1,35.3764634,127.1351443,전라북도 순창군청,순창경찰서,Y,3,6,2020-01-08
