"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",용봉초등학교,전라북도 완주군 봉동읍 완주로 449,전라북도 완주군 봉동읍 구만리 470-1,35.9057997025,127.1559617885,전라북도 완주군,완주경찰서,Y,3,32,2019-06-01
"초등학교",청완초등학교,전라북도 완주군 봉동읍 삼봉로 541,전라북도 완주군 봉동읍 구미리 974,35.927846,127.1268004800,전라북도 완주군,완주경찰서,Y,4,26,2019-06-01
"초등학교",소양초등학교,전라북도 완주군 소양면 소양로 244,전라북도 완주군 소양면 황운리 636-2,35.856024,127.2348879429,전라북도 완주군,완주경찰서,Y,7,13,2019-06-01
"초등학교",운주초등학교,전라북도 완주군 운주면 운주로107,전라북도 완주군 운주면 장선리 507-2,36.09215576,127.2779163,전라북도 완주군,완주경찰서,Y,4,10,2019-06-01
"초등학교",남관초등학교,전라북도 완주군 상관면 마자길 7,전라북도 완주군 상관면 용암리 405,35.7233128974,127.2336355544,전라북도 완주군,완주경찰서,Y,6,20,2019-06-01
"초등학교",삼례초등학교,전라북도 완주군 삼례읍 후정로 30,전라북도 완주군 삼례읍 후정리 37-2,35.9107696103,127.0688176,전라북도 완주군,완주경찰서,Y,4,9,2019-06-01
"초등학교",삼례중앙초등학교,전라북도 완주군 삼례읍 웃삼례길 17-10,전라북도 완주군 삼례읍 삼례리 205,35.9195362208,127.0815022287,전라북도 완주군,완주경찰서,Y,4,9,2019-06-01
"초등학교",상관초등학교,전라북도 완주군 상관면 신리로 115,전라북도 완주군 상관면 신리 562,35.7723096799,127.2059245,전라북도 완주군,완주경찰서,Y,3,9,2019-06-01
"초등학교",고산초등학교,전라북도 완주군 고산면 고산로 153,전라북도 완주군 고산면 읍내리 148,35.9754336577,127.2141305468,전라북도 완주군,완주경찰서,Y,3,15,2019-06-01
"초등학교",봉동초등학교,전라북도 완주군 봉동읍 봉동동서로 105,전라북도 완주군 봉동읍 장기리 357,35.9384922117,127.1621833297,전라북도 완주군,완주경찰서,Y,4,14,2019-06-01
"초등학교",봉서초등학교,전라북도 완주군 봉동읍 원둔산6길 5,전라북도 완주군 봉동읍 둔산리 954,35.9623148662,127.1251482875,전라북도 완주군,완주경찰서,Y,4,9,2019-06-01
"초등학교",삼례동초등학교,전라북도 완주군 삼례읍 구와로 13,전라북도 완주군 삼례읍 석전리 832,35.9205407245,127.1062068494,전라북도 완주군,완주경찰서,Y,5,7,2019-06-01
"초등학교",동양초등학교,전라북도 완주군 소양면 전진로 1059,전라북도 완주군 소양면 화심리 543-4,35.844004,127.2712302682,전라북도 완주군,완주경찰서,Y,3,22,2019-06-01
"초등학교",삼우초등학교,전라북도 완주군 고산면 천호로 27-16,전라북도 완주군 고산면 어우리 168-7,35.9673020335,127.180539,전라북도 완주군,완주경찰서,Y,3,10,2019-06-01
"초등학교",구이초등학교,전라북도 완주군 구이면 구이로 1357,전라북도 완주군 구이면 항가리 86-1,35.7209107632,127.1186556321,전라북도 완주군,완주경찰서,Y,4,10,2019-06-01
"초등학교",화산초등학교,전라북도 완주군 화산면 화산로 830,전라북도 완주군 화산면 화평리 589,36.0352280736,127.2040574716,전라북도 완주군,완주경찰서,Y,3,8,2019-06-01
"초등학교",동상초등학교,전라북도 완주군 동상면 대아저수로 1525,전라북도 완주군 동상면 신월리 286,35.9577812331,127.2937472,전라북도 완주군,완주경찰서,Y,4,9,2019-06-01
"초등학교",청명초등학교,전라북도 완주군 구이면 구이로 1712,전라북도 완주군 구이면 덕천리 196-1,35.7516809802,127.1250211124,전라북도 완주군,완주경찰서,Y,5,11,2019-06-01
"초등학교",소양서초등학교,전라북도 완주군 소양면 명덕로 38,전라북도 완주군 소양면 명덕리 1000,35.8598930585,127.2106565,전라북도 완주군,완주경찰서,Y,2,11,2019-06-01
"초등학교",대덕초등학교,전라북도 완주군 구이면 구이로 641,전라북도 완주군 구이면 계곡리 614-1,35.6607634137,127.1106106118,전라북도 완주군,완주경찰서,Y,3,11,2019-06-01
"초등학교",태봉초등학교,전라북도 완주군 구이면 덕평로 289,전라북도 완주군 구이면 평촌리 1111-1,35.7455963774,127.1496079413,전라북도 완주군,완주경찰서,Y,4,8,2019-06-01
"초등학교",간중초등학교,전라북도 완주군 용진읍 간중길 39,전라북도 완주군 용진읍 간중리 616-1,35.8912677162,127.1817884922,전라북도 완주군,완주경찰서,Y,3,9,2019-06-01
"초등학교",봉성초등학교,전라북도 완주군 봉동읍 신덕성덕길 58-17,전라북도 완주군 봉동읍 성덕리 15-1,35.9229860159,127.1549096694,전라북도 완주군,완주경찰서,Y,3,6,2019-06-01
"초등학교",이서초등학교,전라북도 완주군 이서면 이서로 76,전라북도 완주군 이서면 상개리 539,35.8200005,127.0248728,전라북도 완주군,완주경찰서,Y,2,13,2019-06-01
"초등학교",비봉초등학교,전라북도 완주군 비봉면 비봉소농길 40,전라북도 완주군 비봉면 소농리 513-2,35.9979915868,127.1395026923,전라북도 완주군,완주경찰서,Y,3,10,2019-06-01
"초등학교",용진초등학교,전라북도 완주군 용진읍 상삼1길 52,전라북도 완주군 용진읍 상삼리 1088,35.8575104482,127.1769597005,전라북도 완주군,완주경찰서,Y,2,7,2019-06-01
"초등학교",송광초등학교,전라북도 완주군 소양면 송광새터길 16-3,전라북도 완주군 소양면 대흥리 774-5,35.8856104327,127.2452285,전라북도 완주군,완주경찰서,Y,3,9,2019-06-01
"초등학교",이성초등학교,전라북도 완주군 이서면 대문안1길 23,전라북도 완주군 이서면 이성리 636-2,35.797509,127.0450437,전라북도 완주군,완주경찰서,Y,3,4,2019-06-01
"초등학교",양화분교,전라북도 완주군 고산면 양화로 181-7,전라북도 완주군 고산면 양야리418-2,35.9457333099,127.2053965245,전라북도 완주군,완주경찰서,Y,1,8,2019-06-01
"초등학교",가천초등학교,전라북도 완주군 경천면 경가천길 148-9,전라북도 완주군 경천면 가천리 351,36.0328611116,127.2642334422,전라북도 완주군,완주경찰서,Y,4,8,2019-06-01
"특수학교",전북푸른학교,전라북도 완주군 고산면 대아저수로 157-11,전라북도 완주군 고산면 삼기리 18-1,35.9900118682,127.2390174,전라북도 완주군,완주경찰서,Y,4,9,2019-06-01
"유치원",명작유치원,전라북도 완주군 봉동읍 낙평남북로 68,전라북도 완주군 봉동읍 낙평리 166-5,35.932228,127.1627513,전라북도 완주군,완주경찰서,N,0,10,2019-06-01
"유치원",무지개유치원,전라북도 완주군 봉동읍 낙평동서로 14,전라북도 완주군 봉동읍 낙평리 492,35.9299599,127.1620409,전라북도 완주군,완주경찰서,N,0,12,2019-06-01
