"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",금마초등학교병설유치원,전라북도 익산시 금마4길 38,,35.9916858,127.0565983,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",여산초등학교,전라북도 익산시 동헌길 14,,36.0590917,127.0871922,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",여산초등학교병설유치원,전라북도 익산시 동헌길 14,,36.0590917,127.0871922,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",왕궁초등학교,전라북도 익산시 견우길 3,,35.9665544,127.090141,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",왕궁초등학교병설유치원,전라북도 익산시 견우길 3,,35.9665544,127.090141,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",왕궁남초등학교,전라북도 익산시 학호길 12,,35.9270633,127.0756218,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",왕궁남초등학교병설유치원,전라북도 익산시 학호길 12,,35.9270633,127.0756218,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",오산초등학교,전라북도 익산시 오산로 38,,35.9420178,126.9156060,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",오산초등학교병설유치원,전라북도 익산시 오산로 38,,35.9420178,126.9156060,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리초등학교,전라북도 익산시 중앙로15길 20,,35.9402590,126.9593379,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리초등학교병설유치원,전라북도 익산시 중앙로15길 20,,35.9402590,126.9593379,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리동남초등학교,전라북도 익산시 동천로7길 18,,35.9315154,126.970651,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리동남초등학교병설유치원,전라북도 익산시 동천로7길 18,,35.9315154,126.970651,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",왕북초등학교,전라북도 익산시 금광길54-12,,35.9908173,127.1038938,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",왕북초등학교병설유치원,전라북도 익산시 금광길54-12,,35.9908173,127.1038938,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",성북초등학교,전라북도 익산시 신작길 17-5,,36.1467622,127.0086742,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",성북초등학교병설유치원,전라북도 익산시 신작길 17-5,,36.1467622,127.0086742,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리계문초등학교,전라북도 익산시 계문길 79-8,,35.9734541,126.9437012,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",성당초등학교,전라북도 익산시 성당로 354-16,,36.1001145,126.926632,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",성당초등학교병설유치원,전라북도 익산시 성당로 354-16,,36.1001145,126.926632,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리부천초등학교,전라북도 익산시 부송1로 32,,35.9567124,126.9855161,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리부천초등학교병설유치원,전라북도 익산시 부송1로 32,,35.9567124,126.9855161,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",낭산초등학교,전라북도 익산시 우신길 142,,36.0668346,127.0150263,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",낭산초등학교병설유치원,전라북도 익산시 우신길 142,,36.0668346,127.0150263,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",용남초등학교,전라북도 익산시 입산길 13,,36.0956110,126.9623893,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",흥왕초등학교,전라북도 익산시 흥왕1길 17,,36.1050662148,126.9969925793,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",흥왕초등학교병설유치원,전라북도 익산시 흥왕1길 17,,36.1050662148,126.9969925793,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리백제초등학교,전라북도 익산시 궁동로 29,,35.9626382,126.9741613,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리백제초등학교병설유치원,전라북도 익산시 궁동로 29,,35.9626382,126.9741613,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리마한초등학교,전라북도 익산시 무왕로17길 47,,35.9626997,126.9789520,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리마한초등학교병설유치원,전라북도 익산시 무왕로17길 47,,35.9626997,126.9789520,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",익산어양초등학교,전라북도 익산시 하나로10길 23,,35.9615392,126.983551,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",익산궁동초등학교,전라북도 익산시 무왕로25길 26,,35.9622851,126.9937783,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리동북초등학교,전라북도 익산시 고봉로 190-3,,35.9495863,126.9687414,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리동북초등학교병설유치원,전라북도 익산시 고봉로 190-3,,35.9495863,126.9687414,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리중앙초등학교,전라북도 익산시 인북로 77,,35.9362682,126.951161,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리중앙초등학교병설유치원,전라북도 익산시 인북로 77,,35.9362682,126.951161,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리송학초등학교,전라북도 익산시 학곤로57,,35.9368223,126.9404651,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리송학초등학교병설유치원,전라북도 익산시 학곤로57,,35.9368223,126.9404651,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리신흥초등학교,전라북도 익산시 하나로3길 10,,35.9349527,126.9789000,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리신흥초등학교병설유치원,전라북도 익산시 하나로3길 10,,35.9349527,126.9789000,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"초등학교",이리북초등학교,전라북도 익산시 인북로58길 11,,35.9525743,126.9607260,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
"유치원",이리북초등학교병설유치원,전라북도 익산시 인북로58길 11,,35.9525743,126.9607260,전라북도 익산시청,익산경찰서,Y,,,2019-08-28
