"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",임실초등학교,전라북도 임실군 임실읍 봉황로 64-12,전라북도 임실군 임실읍 성가리 205,35.607911,127.271644,전라북도 임실군청,임실경찰서,Y,6,6,2019-05-01
"초등학교",기림초등학교,전라북도 임실군 임실읍 봉황로 369,전라북도 임실군 임실읍 두곡리 58-1,35.628661,127.290106,전라북도 임실군청,임실경찰서,Y,2,10,2019-05-01
"초등학교",청웅초등학교,전라북도 임실군 청웅면 청웅로 188,전라북도 임실군 청웅면 구고리 111,35.571481,127.204394,전라북도 임실군청,임실경찰서,Y,6,6,2019-05-01
"초등학교",운암초등학교,전라북도 임실군 운암면 상운길 12,전라북도 임실군 운암면 쌍암리 617-5,35.663849,127.156897,전라북도 임실군청,임실경찰서,Y,4,6,2019-05-01
"초등학교",신평초등학교,전라북도 임실군 신평면 가덕로 683,전라북도 임실군 신평면 원천리 139,35.657579,127.2267996,전라북도 임실군청,임실경찰서,Y,3,6,2019-05-01
"초등학교",성수초등학교,전라북도 임실군 성수면 임진로 189,전라북도 임실군 성수면 양지리 675,35.629726,127.330578,전라북도 임실군청,임실경찰서,Y,6,6,2019-05-01
"초등학교",오수초등학교,전라북도 임실군 오수면 충효로 2059,전라북도 임실군 오수면 오수리 400-17,35.5427998,127.327999,전라북도 임실군청,임실경찰서,Y,6,6,2019-05-01
"초등학교",삼계초등학교,전라북도 임실군 삼계면 삼계1길 20-3,전라북도 임실군 삼계면 삼계리 181-2,35.507042,127.277205,전라북도 임실군청,임실경찰서,Y,7,6,2019-05-01
"초등학교",관촌초등학교,전라북도 임실군 관촌면 사선6길 11,전라북도 임실군 관촌면 관촌리 502,35.676826,127.270834,전라북도 임실군청,임실경찰서,Y,8,6,2019-05-01
"초등학교",갈담초등학교,전라북도 임실군 강진면 호국로 65,전라북도 임실군 강진면 갈담리 323-1,35.531804,127.165235,전라북도 임실군청,임실경찰서,Y,5,6,2019-05-01
"초등학교",지사초등학교,전라북도 임실군 지사면 방계3길 10,전라북도 임실군 지사면 방계리 558,35.563963,127.356488,전라북도 임실군청,임실경찰서,Y,3,6,2019-05-01
"초등학교",신덕초등학교,전라북도 임실군 신덕면 수지로 56,전라북도 임실군 신덕면 수천리 840,35.682785,127.176254,전라북도 임실군청,임실경찰서,Y,2,6,2019-05-01
"초등학교",대리초등학교,전라북도 임실군 신평면 대리로 187,전라북도 임실군 신평면 대리 289,35.6597582328,127.2699252925,전라북도 임실군청,임실경찰서,Y,4,6,2019-05-01
"초등학교",덕치초등학교,전라북도 임실군 덕치면 인덕로 1217,전라북도 임실군 덕치면 일중리 221,35.496102,127.148297,전라북도 임실군청,임실경찰서,Y,4,6,2019-05-01
"초등학교",마암초등학교,전라북도 임실군 운암면 마암2길 84,전라북도 임실군 운암면 마암리 700,35.602821,127.104671,전라북도 임실군청,임실경찰서,Y,2,6,2019-05-01
