"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",장수초등학교,전라북도 장수군 장수읍 향교길 11-8,전라북도 장수군 장수읍 장수리 195,35.6482952547,127.5226299698,장수군청,장수경찰서,Y,4,6,2019-12-16
"초등학교",수남초등학교,전라북도 장수군 장수읍 장수로 1898,전라북도 장수군 장수읍 개정리 346,35.6253493985,127.5073000189,장수군청,장수경찰서,Y,2,9,2019-12-16
"초등학교",산서초등학교,전라북도 장수군 산서면 동백로 7,전라북도 장수군 산서면 동화리 208,35.5878572919,127.3952920004,장수군청,장수경찰서,Y,3,6,2019-12-16
"초등학교",번암초등학교,전라북도 장수군 번암면 동강길 21,전라북도 장수군 번암면 노단리 453,35.5343477415,127.547005,장수군청,장수경찰서,Y,3,6,2019-12-16
"초등학교",번암초등학교 동화분교,전라북도 장수군 번암면 지지로 610,전라북도 장수군 번암면 동화리 754,35.5682009642,127.5570907035,장수군청,장수경찰서,Y,2,6,2019-12-16
"초등학교",장계초등학교,전라북도 장수군 장계면 한들로 69,전라북도 장수군 장계면 장계리 250,35.7315413989,127.5820129239,장수군청,장수경찰서,Y,2,6,2019-12-16
"초등학교",천천초등학교,전라북도 장수군 천천면 송탄로 22,전라북도 장수군 천천면 춘송리 833-1,35.7355371485,127.533551,장수군청,장수경찰서,Y,2,6,2019-12-16
"초등학교",계남초등학교,전라북도 장수군 계남면 조곡길 1,전라북도 장수군 계남면 화음리 948-1,35.7021695283,127.5778481264,장수군청,장수경찰서,Y,3,6,2019-12-16
"초등학교",계북초등학교,전라북도 장수군 계북면 문성길 7,전라북도 장수군 계북면 어전리 739,35.7871845111,127.6175041447,장수군청,장수경찰서,Y,3,6,2019-12-16
"유치원",한사랑유치원,전라북도 장수군 장수읍 장천로 237,전라북도 장수군 장수읍 장수리 422,35.6532436421,127.5196232661,장수군청,장수경찰서,Y,4,9,2019-12-16
"어린이집",장수어린이집,전라북도 장수군 장수읍 덕산로 14-3,전라북도 장수군 장수읍 장수리 639-4,35.645351,127.519093,장수군청,장수경찰서,Y,2,6,2019-12-16
"어린이집",승예어린이집,전라북도 장수군 장수읍 신천로 50,전라북도 장수군 장수읍 노하리 448-1,35.6504090166,127.5173478689,장수군청,장수경찰서,Y,2,6,2019-12-16
"어린이집",산서어린이집,전라북도 장수군 산서면 보산로 1847-3,전라북도 장수군 산서면 동화리 106-1,35.5829881255,127.397091,장수군청,장수경찰서,Y,2,6,2019-12-16
"어린이집",장계어린이집,전라북도 장수군 장계면 한들4길 16,전라북도 장수군 장계면 장계리 748-2,35.732399,127.587333,장수군청,장수경찰서,Y,2,12,2019-12-16
"어린이집",꿈나무어린이집,전라북도 장수군 장계면 방천길 5,전라북도 장수군 장계면 장계리 527-28,35.730431,127.588044,장수군청,장수경찰서,Y,2,6,2019-12-16
