"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",우전초등학교병설유치원,전라북도 전주시 완산구 효자동2가 189 우전초등학교병설유치원,전라북도 전주시 완산구 효자동2가 189,35.8056333,127.107150,전라북도 전주시,전주완산경찰서,Y,2,,2018-08-14
"유치원",우성유치원,전라북도 전주시 덕진구 벚꽃로 57 우성유치원,전라북도 전주시 덕진구 진북동 434-225,35.8305981,127.1347965,전라북도 전주시,전주덕진경찰서,Y,2,,2018-08-14
"유치원",우석대부설유치원,전라북도 전주시 완산구 거마남로 71 우석대부설유치원,전라북도 전주시 완산구 삼천동1가637,35.7957274,127.124518,전라북도 전주시,전주완산경찰서,N,,,2018-08-14
"유치원",용흥초등학교병설유치원,전라북도 전주시 완산구 삼천천변 1길 16 용흥초등학교병설유치원,전라북도 전주시 완산구 삼천동1가 765-2,35.7949139,127.1119782,전라북도 전주시,전주완산경찰서,Y,2,,2018-08-14
"유치원",용덕초등학교병설유치원,전라북도 전주시 덕진구 용덕길 30 용덕초등학교,전라북도 전주시 덕진구 용정동 489,35.8766154,127.0515375,전라북도 전주시,전주덕진경찰서,Y,2,,2018-08-14
"유치원",완산초등학교병설유치원,전라북도 전주시 완산구 매곡로 22 완산초등학교병설유치원,전라북도 전주시 완산구 동완산동2가167,35.8102667,127.1435166,전라북도 전주시,전주완산경찰서,Y,2,,2018-08-14
"유치원",올리브유치원,전라북도 전주시 완산구 구이로 2041 올리브유치원,전라북도 전주시 완산구 평화동3가 98-1,35.7803879,127.1292054,전라북도 전주시,전주완산경찰서,N,,,2018-08-14
"유치원",온빛초등학교병설유치원,전라북도 전주시 덕진구 틀못3길 7 온빛초등학교병설유치원,전라북도 전주시 덕진구 장동 1066,35.8424462,127.0567035,전라북도 전주시,전주덕진경찰서,Y,4,,2018-08-14
"유치원",예일킨더유치원,전라북도 전주시 완산구 신촌2길 10 예일킨더유치원,전라북도 전주시 완산구 중화산동2가 401-15,35.8144583,127.1171663,전라북도 전주시,전주완산경찰서,Y,3,,2018-08-14
"유치원",예일유치원,전라북도 전주시 덕진구 한배미5길 12-6 예일유치원,전라북도 전주시 덕진구 인후동1가 943-7,35.8241243,127.1670757,전라북도 전주시,전주덕진경찰서,Y,2,,2018-08-14
