"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",교암초등학교(병설유치원포함),전라북도 정읍시 정읍사로 179,전라북도 정읍시 교암동 323-3,35.526772,126.8460125,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",내장초등학교(병설유치원포함),전라북도 정읍시 대석1길 13-4,전라북도 정읍시 금붕동 98-1,35.5354855,126.8927818,전라북도 정읍시청,정읍경찰서,Y,2,14,2019-09-17
"초등학교",동신초등학교(병설유치원포함),전라북도 정읍시 상동중앙로 15,전라북도 정읍시 상동 280,35.55834466,126.865053,전라북도 정읍시청,정읍경찰서,Y,7,6,2019-09-17
"초등학교",서신초등학교(병설유치원포함),전라북도 정읍시 소성상평로 401-5,전라북도 정읍시 상평동 695-14,35.5634365,126.8220292,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",영산초등학교,전라북도 정읍시 하북1길 217,전라북도 정읍시 하북동 151-3,35.5994555,126.8628179,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",남초등학교(병설유치원포함),전라북도 정읍시 남산5길 25,전라북도 정읍시 시기동 506-19,35.5609274,126.8490086,전라북도 정읍시청,정읍경찰서,Y,3,4,2019-09-17
"초등학교",동초등학교(병설유치원포함),전라북도 정읍시 충정로 176,전라북도 정읍시 장명동 29,35.5673488,126.861488,전라북도 정읍시청,정읍경찰서,Y,5,6,2019-09-17
"초등학교",북초등학교(병설유치원포함),전라북도 정읍시 명덕1길 41,전라북도 정읍시 농소동 14-1,35.5797949,126.8496942,전라북도 정읍시청,정읍경찰서,Y,7,6,2019-09-17
"초등학교",서초등학교(병설유치원포함),전라북도 정읍시 명륜길 32,전라북도 정읍시 연지동 49-18,35.57046962,126.8474171,전라북도 정읍시청,정읍경찰서,Y,5,6,2019-09-17
"초등학교",수성초등학교(병설유치원포함),전라북도 정읍시 수성3로 21,전라북도 정읍시 수성동 917-3,35.5845425,126.8566459,전라북도 정읍시청,정읍경찰서,Y,6,8,2019-09-17
"초등학교",정일초등학교(병설유치원포함),전라북도 정읍시 정문들목길 26-19,전라북도 정읍시 용계동 332,35.5901555,126.8205941,전라북도 정읍시청,정읍경찰서,Y,2,5,2019-09-17
"초등학교",초등학교(병설유치원포함),전라북도 정읍시 마곡로 33,전라북도 정읍시 수성동 171,35.5877486,126.8631446,전라북도 정읍시청,정읍경찰서,Y,6,14,2019-09-17
"초등학교",한솔초등학교,전라북도 정읍시 학산로 69,전라북도 정읍시 상동 164-1,35.5614417,126.8726274,전라북도 정읍시청,정읍경찰서,Y,6,6,2019-09-17
"초등학교",신태인초등학교(병설유치원포함),전라북도 정읍시 신태인1길 54-3,전라북도 정읍시 신태인읍 신태인리 68,35.6870236,126.8899172,전라북도 정읍시청,정읍경찰서,Y,5,6,2019-09-17
"초등학교",감곡초등학교(병설유치원포함),전라북도 정읍시 감곡동서로 355,전라북도 정읍시 감곡면 방교리 493,35.7183666,126.9258926,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",고부초등학교(병설유치원포함),전라북도 정읍시 고부면 교동3길 14,전라북도 정읍시 고부면 고부리 161,35.6213942,126.7721784,전라북도 정읍시청,정읍경찰서,Y,3,4,2019-09-17
"초등학교",관청초등학교,전라북도 정읍시 고부면 관청길 88,전라북도 정읍시 고부면 관청리 548,35.6158609,126.7446883,전라북도 정읍시청,정읍경찰서,Y,3,6,2019-09-17
"초등학교",능교초등학교(병설유치원 포함),전라북도 정읍시 산내면 능교3길 13-5,전라북도 정읍시 산내면 능교리 507-1,35.5680601,127.0319272,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",대흥초등학교(병설유치원 포함),전라북도 정읍시 입암면 정읍남로 766,전라북도 정읍시 입암면 접지리 809-1,35.5252413,126.8082656,전라북도 정읍시청,정읍경찰서,Y,2,5,2019-09-17
"초등학교",덕천초등학교(병설유치원 포함),전라북도 정읍시 덕천면 황토현로 831,전라북도 정읍시 덕천면 우덕리 352,35.6209151,126.8450323,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",도학초등학교(병설유치원 포함),전라북도 정읍시 덕천면 동학로 635,전라북도 정읍시 덕천면 하학리 243-1,35.6287473,126.8192602,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",백암초등학교(병설유치원 포함),전라북도 정읍시 칠보면 암축길 17,전라북도 정읍시 칠보면 백암리 853,35.6118049,126.9514171,전라북도 정읍시청,정읍경찰서,Y,3,5,2019-09-17
"초등학교",보성초등학교(병설유치원 포함),전라북도 정읍시 북면 연지길 38-27,전라북도 정읍시 북면 마정리 681,35.6028301,126.9280248,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",북면초등학교(병설유치원 포함),전라북도 정읍시 북면 화평길 31,전라북도 정읍시 북면 한교리 366-10,35.6037672,126.8869319,전라북도 정읍시청,정읍경찰서,Y,2,5,2019-09-17
"초등학교",산외초등학교(병설유치원 포함),전라북도 정읍시 산외면 운전2길 7,전라북도 정읍시 산외면 평사리 451,35.6206717,127.0410573,전라북도 정읍시청,정읍경찰서,Y,4,4,2019-09-17
"초등학교",소성초등학교(병설유치원 포함),전라북도 정읍시 소성면 보화1길 130,전라북도 정읍시 소성면 보화리 178-6,35.555125,126.7777957,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",영원초등학교(병설유치원 포함),전라북도 정읍시 영원면 영원로 1087,전라북도 정읍시 영원면 은선리 713-2,35.6557874,126.7843022,전라북도 정읍시청,정읍경찰서,Y,5,6,2019-09-17
"초등학교",옹동초등학교(병설유치원 포함),전라북도 정읍시 옹동면 칠석1길 29-7,전라북도 정읍시 옹동면 칠석리 239,35.6474541,126.9766979,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",이평초등학교(병설유치원 포함),전라북도 정읍시 이평면 말목장터길 5-29,전라북도 정읍시 이평면 두지리 249,35.6631163,126.8389656,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",입암초등학교(병설유치원 포함),전라북도 정읍시 입암면 입암중앙길 29,전라북도 정읍시 입암면 천원리 6,35.5054855,126.7970311,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",정남초등학교(병설유치원 포함),전라북도 정읍시 정우면 대산1길 90,전라북도 정읍시 정우면 대산리 68,35.6222592,126.8646852,전라북도 정읍시청,정읍경찰서,Y,2,5,2019-09-17
"초등학교",정우초등학교(병설유치원 포함),전라북도 정읍시 정우면 금남길 28-24,전라북도 정읍시 정우면 수금리 116,35.6521592,126.8798891,전라북도 정읍시청,정읍경찰서,Y,2,4,2019-09-17
"초등학교",칠보초등학교(병설유치원 포함),전라북도 정읍시 칠보면 칠보중앙로 130,전라북도 정읍시 칠보면 무성리 25-1,35.60649492,126.989979,전라북도 정읍시청,정읍경찰서,Y,2,6,2019-09-17
"초등학교",태인초등학교(병설유치원 포함),전라북도 정읍시 태인면 동헌길 16,전라북도 정읍시 태인면 태성리 429,35.6545295,126.9462881,전라북도 정읍시청,정읍경찰서,Y,6,6,2019-09-17
