"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",진안초등학교,전라북도 진안군 진안읍 중앙로 55,전라북도 진안군 진안읍 군하리 129,35.790964,127.4244783,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",중앙초등학교,전라북도 진안군 진안읍 학천변길 37-6,전라북도 진안군 진안읍 군상리 222,35.7950697,127.4359301,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",오천초등학교,전라북도 진안군 진안읍 죽산로 5,전라북도 진안군 진안읍 죽산리 4,35.7763117,127.4931408,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",용담초등학교,전라북도 진안군 용담면 안용로 1005,전라북도 진안군 용담면 송풍리 1002,35.965206,127.518233,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",안천초등학교,전라북도 진안군 안천면 진무로 3071-3,전라북도 진안군 안천면 백화리 1552-1,35.8993622394,127.559707659,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",동향초등학교,전라북도 진안군 동향면 하양지1길 5,전라북도 진안군 동향면 대량리 629,35.839856,127.566681,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",백운초등학교,전라북도 진안군 백운면 임진로 1340-8,전라북도 진안군 백운면 백암리 537,35.691368,127.398481,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",외궁초등학교,전라북도 진안군 성수면 가외반로 498,전라북도 진안군 성수면 외궁리 687-5,35.707281,127.325291,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",마령초등학교,전라북도 진안군 마령면 임진로 2122,전라북도 진안군 마령면 평지리 991,35.735466,127.369987,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",장승초등학교,전라북도 진안군 부귀면 곰티로 1287,전라북도 진안군 부귀면 신정리 749,35.798985,127.334762,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",부귀초등학교,전라북도 진안군 부귀면 부귀로 313-9,전라북도 진안군 부귀면 거석리 788,35.837738,127.361152,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",조림초등학교,전라북도 진안군 정천면 봉학로 52,전라북도 진안군 정천면 봉학리 517,35.872223,127.430504,진안군청,진안경찰서,Y,02,,2019-09-16
"초등학교",주천초등학교,전라북도 진안군 주천면 동상주천로 2225,전라북도 진안군 주천면 주양리 466,35.9764177067,127.426276,진안군청,진안경찰서,Y,02,,2019-09-16
"유치원",소화어린이집,전라북도 진안군 진안읍 대광길 26-14,전라북도 진안군 진안읍 군하리 421-1,35.7886477272,127.4194508696,진안군청,진안경찰서,Y,02,,2019-09-16
"유치원",마이꿈유치원,전라북도 진안군 진안읍 어영골길 29,전라북도 진안군 진안읍 군상리 753-1,35.7995520519,127.421751,진안군청,진안경찰서,Y,02,,2019-09-16
